probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,Re,GAL_MU_E_R,Mstar,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng
1.0,6243249506123131264,105.56161,-45.3149,114.876863065641,4.19469889448455,2.73610710320927,1.45859179127529,240.52838,-22.216846,18.3563995361328,17.6702003479004,17.351900100708,17.1972007751465,17.0926990509033,17.687101,18.227446,16.965408,1.46253502391344,-0.941860332512101,1.0,19.0,-99.0,1.0,1.0,-999.0,False,110106.185306124,-43577.7719999999,1.0,105561.61,-45314.9,NA,P,0.467086769911504,-0.200508407079646,NA,NA,NA,NA
2.0,6243490711483623936,-191.46445,10.07719,191.729458800933,-1.52945596981906,-0.0525836537321531,4.80631299109268,239.16971,-21.979235,18.0890998840332,17.4603004455566,17.1737995147705,17.0317993164063,16.9349002838135,17.478912,17.969418,16.783524,-7.5118146379211,0.399459207793615,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-196953.234693874,10122.3140000003,1.0,-191464.45,10077.19,NA,P,-0.847187831858407,0.0445893362831858,NA,NA,NA,NA
3.0,6246639197389431040,-94.99487,189.98384,212.409709729717,0.719240232157064,-1.10713629576208,1.82637652791914,239.61264,-21.225006,16.4360008239746,15.8894996643066,15.6438999176025,15.5255002975464,15.4362001419067,15.904353,16.357872,15.277915,-1.58214008810716,-9.35636273768061,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-96851.0546938759,180578.068,1.0,-94994.87,189983.84,NA,P,-0.420331283185841,0.840636460176991,NA,NA,NA,NA
4.0,6246643801594662656,-32.95737,214.77924,217.293143408379,0.663561926541906,-1.4185363099739,2.08209823651581,239.89265,-21.122374,17.6200008392334,16.9648990631104,16.5372009277344,16.4468002319336,16.320499420166,16.930672,17.491177,16.203672,-3.35337361578654,-0.876748313154964,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-33568.7946938749,203772.9,1.0,-32957.37,214779.24,NA,P,-0.14582907079646,0.950350619469027,NA,NA,NA,NA
5.0,6237394091299588480,-109.01668,-150.27047,185.649806550514,2.52179328864912,0.943180297974858,1.57861299067426,239.5423,-22.65798,18.1177997589111,17.5251007080078,17.2539005279541,17.1312007904053,17.0293998718262,17.545961,18.041182,16.874363,0.3163094341609,-5.53002120626594,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-112747.894693873,-143274.055999999,1.0,-109016.68,-150270.47,NA,P,-0.482374690265487,-0.664913584070796,NA,NA,NA,NA
6.0,6243217929523577728,1.97331,-107.97823,107.99625968657,1.55407800314735,1.58906936537977,6.24819394494716,240.05042,-22.485662,17.2982997894287,16.7896995544434,16.5485992431641,16.4421997070313,16.3686008453369,16.818453,17.186413,16.159996,-1.15042035095794,0.260215236766694,1.0,19.0,-99.0,1.0,1.0,-999.0,False,2087.22530612494,-104330.188,1.0,1973.31,-107978.23,NA,P,0.0087314601769911,-0.477779778761062,NA,NA,NA,NA
7.0,6237414088672739072,-149.13392,-102.69652,181.073193252554,2.53365652984538,0.603047115209611,1.93060941463577,239.35886,-22.456867,17.7763996124268,17.2008991241455,16.9505996704102,16.8358001708984,16.737699508667,17.22023,17.680002,16.56801,1.55779866174981,-4.0076420543447,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-154205.334693877,-97822.5179999996,1.0,-149133.92,-102696.52,NA,P,-0.659884601769912,-0.454409380530973,NA,NA,NA,NA
8.0,6237186180530093312,-24.92782,-200.91166,202.452195181747,-1.16054727676531,1.44735364712194,3.67528438329234,239.92749,-22.869608,17.4276008605957,16.4801006317139,16.097900390625,15.9096002578735,15.7698001861572,16.513395,17.17782,15.713003,6.30006954707002,-7.87775078691732,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-25694.9546938743,-191101.984,1.0,-24927.82,-200911.66,NA,P,-0.110300088495575,-0.888989646017699,NA,NA,NA,NA
9.0,6243231673419147392,153.98265,-88.46814,177.587353986938,4.50810433354513,2.62010927982721,1.88799505371793,240.74583,-22.396683,16.3055000305176,15.7138996124268,15.4465999603271,15.3259000778198,15.2437000274658,15.72592,16.203812,15.07525,-6.01296868273294,0.329857237950548,1.0,19.0,-99.0,1.0,1.0,-999.0,False,159249.885306127,-84220.9339999997,1.0,153982.65,-88468.14,NA,P,0.681339159292035,-0.391451946902655,NA,NA,NA,NA
10.0,6243594409175781120,116.03922,135.64652,178.507924099517,2.86468487448219,4.00473768550497,5.1431324961568,240.56865,-21.449205,17.0457000732422,16.479700088501,16.2458992004395,16.1464996337891,16.0687007904053,16.50856,16.969637,15.876191,-0.228572482099724,-11.8098682071152,1.0,19.0,-99.0,1.0,1.0,-999.0,False,119207.205306122,129909.094,1.0,116039.22,135646.52,NA,P,0.513447876106195,0.600205840707965,NA,NA,NA,NA
11.0,6243469408445769600,-123.8984,-45.03143,131.828082025056,-1.1442166992174,0.348610362823398,4.79035824513879,239.47064,-22.215021,17.1455001831055,16.6002006530762,16.3687000274658,16.255500793457,16.1793994903564,16.619205,17.0546,15.996954,4.3560466970451,0.562373078994206,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-128943.054693875,-43165.3219999999,1.0,-123898.4,-45031.43,NA,P,-0.548223008849558,-0.199254115044248,NA,NA,NA,NA
12.0,6243544480173451008,105.57477,54.40902,118.770255190066,3.71793238110918,3.61745266787537,0.100479713233805,240.52673,-21.790945,18.5400009155273,17.9708995819092,17.7331008911133,17.6324996948242,17.5379009246826,17.996367,18.460606,17.353853,3.18692106992792,-3.26355584789583,1.0,19.0,-99.0,1.0,1.0,-999.0,False,109733.285306121,52675.854,1.0,105574.77,54409.02,NA,P,0.467145,0.240747876106195,NA,NA,NA,NA
13.0,6246534984301574656,-136.36801,130.33597,188.636420733646,3.0894373307885,-0.762785033303231,3.85222236409173,239.42204,-21.4724,15.1139001846313,14.451000213623,14.1733999252319,14.036600112915,13.9430999755859,14.466964,14.99624,13.789036,13.1022931734263,-3.13824610544809,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-139926.654693873,124667.024,1.0,-136368.01,130335.97,NA,P,-0.603398274336283,0.576707831858407,NA,NA,NA,NA
14.0,6243497274194177024,-113.35205,46.81441,122.638803903376,-0.676882831719931,-0.391662897777136,5.99796537323679,239.5198,-21.823374,16.2056007385254,15.3311996459961,14.8930997848511,14.6632995605469,14.5171003341675,15.31481,16.008537,14.504422,-6.59588060879912,-5.05327115112394,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-117832.894693875,45346.8999999999,1.0,-113352.05,46814.41,NA,P,-0.501557743362832,0.207143407079646,NA,NA,NA,NA
15.0,6243340903026849280,179.00527,5.99418,179.10560259703,4.55742132242912,3.17506619908921,1.38235512333992,240.8578,-21.996609,17.7786998748779,17.1126003265381,16.8412990570068,16.702600479126,16.6005992889404,17.15109,17.676933,16.464275,0.058618161820695,-3.23811332772526,1.0,19.0,-99.0,1.0,1.0,-999.0,False,184555.105306124,6195.79000000029,1.0,179005.27,5994.18,NA,P,0.792058716814159,0.0265229203539823,NA,NA,NA,NA
16.0,6243625951415187072,-5.78201,133.51795,133.643086659365,3.04011823121565,-1.52751825321993,4.56763648443558,240.01457,-21.45489,16.5128993988037,15.8620004653931,15.568699836731,15.4257001876831,15.3208999633789,15.881443,16.409025,15.195452,-7.27662563069533,-7.90812529900459,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-6014.87469387746,128624.284,1.0,-5782.01,133517.95,NA,P,-0.0255841150442478,0.590787389380531,NA,NA,NA,NA
17.0,6243648663202831360,65.59219,191.53874,202.458450823332,2.59857230176887,4.38245716336116,4.4993004455873,240.3374,-21.21698,16.614200592041,16.1054992675781,15.8704996109009,15.7718000411987,15.6996002197266,16.10595,16.520895,15.50396,-3.25023059859046,-3.14729175829752,1.0,19.0,-99.0,1.0,1.0,-999.0,False,66944.7053061249,182391.944,1.0,65592.19,191538.74,NA,P,0.29023092920354,0.847516548672566,NA,NA,NA,NA
18.0,6243197348040000896,85.48696,-147.14541,170.175767999177,0.745062820403729,2.09710509231836,4.93114303526495,240.43373,-22.646807,16.5139999389648,16.0858993530273,15.891900062561,15.8016004562378,15.7437000274658,16.080193,16.429401,15.521663,-3.02513122704217,1.07015331869216,1.0,19.0,-99.0,1.0,1.0,-999.0,False,88715.2853061237,-140748.958,1.0,85486.96,-147145.41,NA,P,0.378260884955752,-0.651085884955752,NA,NA,NA,NA
19.0,6243456145587469440,-24.00181,7.8908,25.2656210672942,1.67305808979764,-0.317627604747047,1.99068569454468,239.92966,-21.990002,16.3999996185303,15.6038999557495,15.2643995285034,15.0595998764038,14.9422998428345,15.591677,16.188862,14.855387,-1.6175403904649,-11.3052341270023,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-25204.5346938728,7688.97200000005,1.0,-24001.81,7890.8,NA,P,-0.106202699115044,0.0349150442477876,NA,NA,NA,NA
20.0,6243556166786656640,40.49797,54.87004,68.1968244401636,3.49991731155851,4.0765664277422,5.7065361909959,240.22826,-21.788519,15.934700012207,15.8135004043579,15.8341999053955,15.8311004638672,15.7822999954224,15.784334,15.9527645,15.454207,-5.3759888271428,-5.80059904221824,NA,NA,NA,1.0,NA,NA,NA,42279.0653061257,53224.13,0.0,40497.97,54870.04,NA,P,0.179194557522124,0.242787787610619,NA,NA,NA,NA
21.0,6243246207588325760,41.89939,-53.59001,68.0253486148524,1.33239606656581,2.23437227163662,5.38120910210878,240.23544,-22.253754,17.7660007476807,17.6098003387451,17.5955009460449,17.6145000457764,17.5683994293213,17.595339,17.78111,17.230822,-2.31684196571877,-3.54016974540395,NA,NA,NA,1.0,NA,NA,NA,43901.7453061269,-51918.98,0.0,41899.39,-53590.01,NA,P,0.185395530973451,-0.237123938053097,NA,NA,NA,NA
22.0,6243564481837370624,-143.44352,-69.46325,NA,NA,NA,NA,240.48537,-21.617958,NA,10.6978998184204,NA,NA,NA,NA,NA,NA,-11.7230724170359,-23.547779629735,NA,NA,NA,NA,NA,NA,NA,100385.925306122,91770.9159999998,2.0,96931.88,95166.59,NA,G,NA,NA,159.377496939037,4.99142756629516,0.45097250187958,4.54045506441558
23.0,6243612104440601600,-155.52413,118.30545,NA,NA,NA,NA,240.04935,-21.589516,NA,10.8283996582031,NA,NA,NA,NA,NA,NA,-14.5950334169632,-4.69607135305918,NA,NA,NA,NA,NA,NA,NA,1845.40530612526,98198.8080000002,2.0,1795.0,101511.17,NA,G,NA,NA,195.407099441037,3.00001280481608,-0.650306860836906,3.65031966565299
24.0,6243569876323017088,58.28085,20.13774,NA,NA,NA,NA,240.40779,-21.490728,NA,11.5790996551514,NA,NA,NA,NA,NA,NA,-41.5046450094698,15.2672698429117,NA,NA,NA,NA,NA,NA,NA,82852.8453061256,120524.896,2.0,80195.82,125252.48,NA,G,NA,NA,61.6618686793556,3.53909512545357,3.47427910819032,0.064816017263249
25.0,6243203120476661376,18.67141,-161.35112,NA,NA,NA,NA,239.97186,-22.79337,NA,11.6497001647949,NA,NA,NA,NA,NA,NA,-6.3634313784849,-10.2514756752206,NA,NA,NA,NA,NA,NA,NA,-15667.3346938774,-173872.196,2.0,-15160.78,-182076.21,NA,G,NA,NA,162.427846986416,3.83544538582813,1.68600303163059,2.14944235419755
26.0,6243227172292998528,-114.25572,-98.8966,NA,NA,NA,NA,240.48427,-22.491997,NA,11.87380027771,NA,NA,NA,NA,NA,NA,-5.60784288000512,3.53525769502851,NA,NA,NA,NA,NA,NA,NA,100137.325306126,-105761.898,2.0,96249.37,-110212.22,NA,G,NA,NA,151.112233271428,2.320815240526,0.713465472738668,1.60734976778733
27.0,6246530345736828288,141.91767,-53.68766,NA,NA,NA,NA,239.47615,-21.590834,NA,12.191499710083,NA,NA,NA,NA,NA,NA,-9.03548479081139,-11.5381205272271,NA,NA,NA,NA,NA,NA,NA,-127697.794693878,97900.9399999999,2.0,-123674.34,101783.03,NA,G,NA,NA,151.733285387566,4.40016288984594,2.77993070978685,1.62023218005909
