#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,15 59 39.47,-21 55 23.1 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning_within_half_radius Tile 003
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243243699327391488",50.52801,-105.79083,117.238131623841,1.15571875324216,2.01638166787068,5.42252239255107,240.14793,-22.374636,16.7859992980957,16.0974006652832,15.7551002502441,15.5920000076294,15.4482002258301,16.068777,16.615377,15.35269,1.14455011287603,5.31058556826683,1,19,-99,1,1,-999,"False",52761.5448979603,-102051.356204081,1,50528.01,-105790.83,NA,"P",0.223575265486726,-0.468101017699115
2,"6243537268930498944",116.73082,-20.03312,118.437368405444,4.17656381367497,2.97163028048497,1.20493353319,240.45216,-22.007717,18.1544990539551,17.6336994171143,17.3908004760742,17.2794990539551,17.210599899292,17.645325,18.06352,17.012028,0.805584127561276,-5.47480375252607,1,19,-99,1,1,-999,"False",121517.524897958,-19127.6622040811,1,116730.82,-20033.12,NA,"P",0.516508053097345,-0.0886421238938053
3,"6243631345894139264",-8.52841,132.8699,133.143321661802,3.04461562968488,-1.50669808556971,4.5513137152546,239.8753,-21.356665,18.7556991577148,17.3973007202148,16.3066997528076,15.7874002456665,15.5057001113892,17.002476,18.31483,15.855102,-0.511381616660452,-22.6251534594897,1,19,-99,1,1,-999,"False",-8852.83510203794,128010.089795919,1,-8528.41,132869.9,NA,"P",-0.0377363274336283,0.587919911504425
4,"6243523284516156928",-63.91781,53.58895,83.410203196603,-0.423480150484144,-0.697723370091669,0.274243219607525,239.61964,-21.693228,17.9428997039795,17.277099609375,16.970100402832,16.8096008300781,16.7304992675781,17.292852,17.795696,16.601728,-9.50369034371321,-0.771995580908444,1,19,-99,1,1,-999,"False",-66631.9951020393,51946.8517959184,1,-63917.81,53588.95,NA,"P",-0.282822168141593,0.237119247787611
5,"6243493455961639424",-101.80089,-12.28575,102.539557527106,2.01533834617578,0.120103271872235,1.89523507430355,239.44463,-21.975012,17.8812999725342,17.3801002502441,17.1137008666992,16.9692001342773,16.8880004882813,17.383955,17.781857,16.710743,-2.25395279834795,-3.79985316305005,1,19,-99,1,1,-999,"False",-106184.255102043,-11736.3322040812,1,-101800.89,-12285.75,NA,"P",-0.450446415929204,-0.0543617256637168
6,"6243399245860840448",-1.98381,-142.47412,142.487930618318,1.58404884815465,1.55687322406361,0.0271756240910381,239.90547,-22.52924,18.4130992889404,17.7303009033203,17.4487991333008,17.3297004699707,17.2262001037598,17.779432,18.190878,17.043617,-8.59641938415591,-2.85048649920621,1,19,-99,1,1,-999,"False",-2034.41510203834,-136991.860204082,1,-1983.81,-142474.12,NA,"P",-0.0087779203539823,-0.630416460176991
7,"6243346297506241536",177.91152,-32.18297,180.798928389333,4.28436378153645,2.96263475886791,1.32172902266853,240.72614,-22.0571,16.8101997375488,16.3027000427246,16.0618991851807,15.9586000442505,15.8767004013062,16.31422,16.731762,15.6974745,-3.24984661216136,-2.22824653718997,1,19,-99,1,1,-999,"False",183437.004897957,-30288.2202040809,1,177911.52,-32182.97,NA,"P",0.787219115044248,-0.142402522123894
8,"6243404331096646272",-33.3126,-117.4415,122.074711717907,1.6780281607949,1.29440368703733,0.383624473757567,239.76077,-22.424208,18.0070991516113,17.448600769043,17.2262992858887,17.1042995452881,17.0491008758545,17.53711,17.77638,16.759735,-3.65584438951146,-4.94374194111325,1,19,-99,1,1,-999,"False",-34736.6151020384,-113254.628204081,1,-33312.6,-117441.5,NA,"P",-0.147400884955752,-0.519652654867257
9,"6243455149154746752",-23.17635,-19.91636,30.5582164887302,1.93887254175872,0.709891371719275,1.22898117003945,239.80688,-22.008774,17.9696006774902,17.3600006103516,17.1082992553711,16.9848003387451,16.702600479126,17.403105,17.87023,16.741035,-4.48072767839617,-16.0548289763546,1,19,-99,1,1,-999,"False",-24315.7551020387,-19366.544204081,1,-23176.35,-19916.36,NA,"P",-0.102550221238938,-0.0881254867256637
10,"6243448552084875264",71.16291,-2.54981,71.2085759631816,3.88948780520453,3.10577737195282,0.783710433251712,240.2435,-21.933672,18.3981990814209,17.2434997558594,16.7677993774414,16.5359001159668,16.3703002929688,17.270672,17.999725,16.350163,-4.93566818260347,-0.156858635710544,1,19,-99,1,1,-999,"False",74360.3648979624,-2393.49220408157,1,71162.91,-2549.81,NA,"P",0.314880132743363,-0.0112823451327434
