#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,15 59 26.86,-21 52 19.9 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,a test_label
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243467484300414464",-88.74136,-93.85282,129.164162199126,2.16216124286794,0.813384408345318,1.34877683452262,239.45306,-22.27188,16.6415996551514,16.1205997467041,15.8607997894287,15.7427997589111,15.6547002792358,16.115828,16.559086,15.49414,-4.90674822795426,4.71143130313311,1,19,-99,1,1,-999,"False",-92400.7457142898,-90329.0636734694,1,-88741.36,-93852.82,NA,"P",-0.392660884955752,-0.41527796460177
2,"6243454530679418880",2.72416,-35.52175,35.6260546618356,-0.642491947138591,1.64733642388518,3.99335693615581,239.87459,-22.024988,15.9352998733521,15.3704996109009,15.1343002319336,15.0321998596191,14.9567003250122,15.39511,15.85479,14.7665615,-7.44195129389422,3.52103243984541,1,19,-99,1,1,-999,"False",2865.03428571433,-34531.4716734697,1,2724.16,-35521.75,NA,"P",0.0120538053097345,-0.157175884955752
3,"6243564035167448960",134.82882,53.40211,145.019295457689,0.385156266881785,3.51870945959411,3.14963211446726,240.479,-21.643852,14.8367004394531,14.2327995300293,13.9841003417969,13.8736000061035,13.7803001403809,14.252242,14.740686,13.607656,0.32071892330979,-1.45612411926875,1,19,-99,1,1,-999,"False",139461.694285715,51605.2643265307,1,134828.82,53402.11,NA,"P",0.596587699115044,0.236292522123894
4,"6243543213165273344",104.13139,10.04739,104.614991416834,1.26562823196458,3.23778250647096,4.3110310326732,240.34181,-21.828497,17.642599105835,16.625,16.1347999572754,15.8978996276855,15.6909999847412,16.620514,17.37457,15.752018,9.41686559324602,0.683661801864083,1,19,-99,1,1,-999,"False",108456.754285714,9875.49432653073,1,104131.39,10047.39,NA,"P",0.460758362831858,0.0444574778761062
5,"6243206796968224512",35.05134,-185.7442,189.022496728394,3.96778395378367,1.75731059689803,2.21047335688564,240.02238,-22.655876,18.3355007171631,17.0674991607666,15.3484001159668,14.506199836731,14.0211000442505,16.103634,17.276587,14.665706,-13.4018357645745,-24.2631143375823,1,19,-99,1,1,-999,"False",36265.5742857112,-177112.159673469,1,35051.34,-185744.2,NA,"P",0.155094424778761,-0.821876991150443
6,"6243513595069778048",48.80842,33.16026,59.007327563312,-0.315590372829831,3.73835638184413,2.22923855250563,240.08748,-21.729671,17.6009006500244,16.8722991943359,16.5459003448486,16.3934001922607,16.2693996429443,16.897278,17.471907,16.178877,2.61833118824108,2.92695731255369,1,19,-99,1,1,-999,"False",50978.1742857115,32210.1703265305,1,48808.42,33160.26,NA,"P",0.215966460176991,0.146726814159292
7,"6243243664967647360",66.09573,-117.22714,134.576550248595,3.97136518388802,2.08419263728906,1.88717254659896,240.16652,-22.371231,18.2919998168945,17.8080997467041,17.6018009185791,17.5016002655029,17.4279003143311,17.893549,18.120272,17.009161,-9.25431229013332,-11.8417911748312,1,19,-99,1,1,-999,"False",68841.2142857097,-112782.38967347,1,66095.73,-117227.14,NA,"P",0.292458982300885,-0.518704159292035
8,"6243219230892433920",56.59386,-131.34457,143.018394125317,0.411680541597127,1.97763754371266,4.71722830506405,240.12253,-22.430712,18.3917999267578,17.8693008422852,17.6557998657227,17.5632991790771,17.4918003082275,17.90211,18.256922,17.26179,-8.12894501868051,-2.60395370681108,1,19,-99,1,1,-999,"False",58899.4742857143,-126225.09567347,1,56593.86,-131344.57,NA,"P",0.250415309734513,-0.581170663716814
9,"6243457142019577728",10.49774,-16.25057,19.3464097556239,-0.559865491804455,2.14434888803193,3.5789709273432,239.91074,-21.94226,17.9696998596191,17.4687995910645,17.2406005859375,17.1518001556396,17.0781993865967,17.486841,17.893948,16.879732,-8.31881801166569,-2.26013777912042,1,19,-99,1,1,-999,"False",11034.9342857126,-15834.9436734698,1,10497.74,-16250.57,NA,"P",0.0464501769911504,-0.0719051769911504
10,"6243566028031824896",156.95712,71.35195,172.414147585101,3.77885247965654,3.56826135561197,0.21059112404457,240.5768,-21.568407,17.2840003967285,16.7231006622314,16.4904003143311,16.4062995910645,16.3398990631104,16.75979,17.222094,16.14094,-6.45374576233896,-2.14571171673941,1,19,-99,1,1,-999,"False",161564.49428571,68655.8343265303,1,156957.12,71351.95,NA,"P",0.694500530973451,0.315716592920354
11,"6243523009638233472",-47.99312,36.0911,60.0492053781264,-0.479998816504127,-0.644783524116232,0.164784707612105,239.64006,-21.717112,17.850700378418,17.1721000671387,16.8391990661621,16.679500579834,16.5508003234863,17.178204,17.723314,16.459442,-4.16514189413901,-2.89093523085425,1,19,-99,1,1,-999,"False",-50138.7457142872,35048.5043265304,1,-47993.12,36091.1,NA,"P",-0.212358938053097,0.159695132743363
12,"6243488065783750272",-132.257,-37.0557,137.35005988892,-1.17067077366642,0.273175144702768,4.8393393888104,239.25415,-22.028942,18.5571994781494,17.8752002716064,17.5515995025635,17.3945007324219,17.3033008575439,17.884659,18.400236,17.162565,-4.13101690795177,-3.87079557861835,1,19,-99,1,1,-999,"False",-137354.405714286,-35425.0756734697,1,-132257,-37055.7,NA,"P",-0.58520796460177,-0.163963274336283
13,"6243571697389161472",124.47815,99.28202,159.222263903962,3.47127535901738,3.81485986245205,5.93960080374492,240.4298,-21.449617,16.7243995666504,16.1746997833252,15.9463996887207,15.8488998413086,15.7796001434326,16.20125,16.659178,15.5820465,-2.85075714504735,-1.31388964677363,1,19,-99,1,1,-999,"False",128342.494285712,95502.3743265304,1,124478.15,99282.02,NA,"P",0.550788274336283,0.439300973451327
14,"6243501431722715136",-106.89644,28.95907,110.749612278953,-0.757728501310099,-0.264557677184765,5.79001448305425,239.36975,-21.747673,18.2264995574951,17.5228004455566,17.2005004882813,17.0366992950439,16.9325008392334,17.549006,18.070993,16.81937,1.10762606242499,-5.62004969666499,1,19,-99,1,1,-999,"False",-111228.805714286,28141.7183265307,1,-106896.44,28959.07,NA,"P",-0.472993097345133,0.128137477876106
15,"6243616193249660416",49.52356,108.33523,119.118029929253,-0.0190185399648168,4.28361947803949,1.98054728917528,240.08902,-21.409351,18.0114002227783,17.4974994659424,17.2710990905762,17.1676006317139,17.1004009246826,17.518526,17.94127,16.902817,-0.703497852857314,-1.99369363196946,1,19,-99,1,1,-999,"False",51326.2142857128,104602.49032653,1,49523.56,108335.23,NA,"P",0.219130796460177,0.479359424778761
16,"6243551047186323200",163.34575,37.45445,167.584813953607,1.01578965707985,3.36699186096142,3.93198310329801,240.6073,-21.71171,17.3584995269775,16.690299987793,16.3843002319336,16.2287998199463,16.113000869751,16.7081,17.242487,16.003477,-7.81135785511881,0.0540541197044422,1,19,-99,1,1,-999,"False",168457.494285714,36269.3563265304,1,163345.75,37454.45,NA,"P",0.722768805309735,0.165727654867257
17,"6243436732334758528",51.11856,-75.64854,91.3006504938776,0.217751427360844,2.16505251813525,4.33588421640518,240.0983,-22.195763,18.8796005249023,17.9603004455566,17.5706005096436,17.3549995422363,17.2276000976563,17.986698,18.620888,17.179932,-1.3873802766067,-0.617754258204373,1,19,-99,1,1,-999,"False",53423.4942857104,-73126.6216734694,1,51118.56,-75648.54,NA,"P",0.226188318584071,-0.334728053097345
18,"6243569189127523968",104.01492,74.99756,128.233137638288,-0.12611322018779,3.7662917109042,2.3907803760876,240.33887,-21.551628,18.2546997070313,17.7779006958008,17.558500289917,17.4582996368408,17.4041004180908,17.787739,18.171692,17.178078,-4.93391934612213,-4.86135497325664,1,19,-99,1,1,-999,"False",107792.314285708,72447.8883265302,1,104014.92,74997.56,NA,"P",0.460243008849558,0.331847610619469
19,"6243499748095531008",-119.22712,15.6436,120.249026459487,2.02915056747943,-0.13046314025096,2.15961370773039,239.31346,-21.804512,16.7070007324219,15.9896001815796,15.673999786377,15.5262002944946,15.4298000335693,16.01159,16.570255,15.297258,8.67307610451815,-1.73026003186746,1,19,-99,1,1,-999,"False",-123950.34571429,15296.1043265307,1,-119227.12,15643.6,NA,"P",-0.527553628318584,0.0692194690265487
20,"6246660912744122240",-32.97313,204.7425,207.380612903538,0.513305731184932,-1.41112053436504,1.92442626554997,239.25983,-22.546618,18.0578994750977,17.7684993743896,17.6587009429932,17.6249008178711,17.5941009521484,17.748343,17.977957,17.277533,-9.30312418832899,-0.588341722384249,NA,NA,NA,1,NA,NA,"",-136070.72571429,-152419.851673469,0,-132278.6,-160670.42,NA,"P",-0.585303539823009,-0.710931061946903
21,"6237406009834692224",-132.2786,-160.67042,208.116822676439,2.68285408335435,0.882013688049708,1.80084039530464,239.71307,-21.010618,16.2628002166748,16.107400894165,16.0984992980957,16.1161994934082,16.0746002197266,16.092226,16.298498,15.752473,-6.5433071877747,-3.98081620179647,NA,NA,NA,1,NA,NA,"",-33638.4857142912,194716.14832653,0,-32973.13,204742.5,NA,"P",-0.145898805309735,0.905940265486726
NA,"Sky-A1-1",-224.58157,81.75646,NA,NA,NA,NA,238.8554206,-21.528432789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-224581.57,81756.46,2,"S",-0.993723761061947,0.361754247787611
NA,"Sky-A1-2",-220.38782,92.46733,NA,NA,NA,NA,238.8744893,-21.483897408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-220387.82,92467.33,2,"S",-0.975167345132743,0.409147477876106
NA,"Sky-A1-3",-217.48859,103.8257,NA,NA,NA,NA,238.8882978,-21.436865473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-217488.59,103825.7,1,"S",-0.96233889380531,0.459405752212389
NA,"Sky-A1-4",-212.24121,114.16975,NA,NA,NA,NA,238.9120417,-21.393902854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-212241.21,114169.75,1,"S",-0.939120398230089,0.505175884955752
NA,"Sky-A1-5",-206.50222,124.24934,NA,NA,NA,NA,238.9379656,-21.352049686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-206502.22,124249.34,1,"S",-0.913726637168142,0.549775840707965
NA,"Sky-A1-6",-200.2849,134.04112,NA,NA,NA,NA,238.9660083,-21.311402117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-200284.9,134041.12,1,"S",-0.886216371681416,0.593102300884956
NA,"Sky-A1-7",-193.60365,143.52243,NA,NA,NA,NA,238.996104,-21.272053365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-193603.65,143522.43,1,"S",-0.856653318584071,0.635055
NA,"Sky-A2-1",-3.01251,240.9813,NA,NA,NA,NA,239.8482478,-20.868263582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-3012.51,240981.3,1,"S",-0.0133296902654867,1.0662889380531
NA,"Sky-A2-2",8.5856,240.84715,NA,NA,NA,NA,239.8999628,-20.86883141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,8585.6,240847.15,1,"S",0.0379893805309735,1.0656953539823
NA,"Sky-A2-3",20.16382,240.15512,NA,NA,NA,NA,239.9515897,-20.871708556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,20163.82,240155.12,1,"S",0.0892204424778761,1.06263327433628
NA,"Sky-A2-4",32.3529,243.86326,NA,NA,NA,NA,240.0057196,-20.857650286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,32352.9,243863.26,0,"S",0.143154424778761,1.07904097345133
NA,"Sky-A2-5",43.15344,237.10513,NA,NA,NA,NA,240.0541106,-20.884358893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,43153.44,237105.13,1,"S",0.190944424778761,1.04913774336283
NA,"Sky-A2-6",54.51158,234.75423,NA,NA,NA,NA,240.1047713,-20.894103085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,54511.58,234754.23,1,"S",0.241201681415929,1.03873553097345
NA,"Sky-A2-7",64.65225,228.01116,NA,NA,NA,NA,240.1503586,-20.921103786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,64652.25,228011.16,3,"S",0.286071902654867,1.0088989380531
NA,"Sky-A3-1",231.67752,66.38214,NA,NA,NA,NA,240.8992953,-21.592546013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,231677.52,66382.14,1,"S",1.0251217699115,0.293726283185841
NA,"Sky-A3-2",234.60313,55.15828,NA,NA,NA,NA,240.9127163,-21.639192471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,234603.13,55158.28,1,"S",1.03806694690265,0.244063185840708
NA,"Sky-A3-3",236.98531,43.80666,NA,NA,NA,NA,240.9237153,-21.686382435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,236985.31,43806.66,1,"S",1.04860756637168,0.193834778761062
NA,"Sky-A3-4",238.81857,32.35357,NA,NA,NA,NA,240.9322649,-21.734007147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,238818.57,32353.57,1,"S",1.05671933628319,0.143157389380531
NA,"Sky-A3-5",236.11348,20.47987,NA,NA,NA,NA,240.9216557,-21.783409851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,236113.48,20479.87,3,"S",1.04474991150442,0.0906188938053097
NA,"Sky-A3-6",240.82258,9.24926,NA,NA,NA,NA,240.9419338,-21.830120564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,240822.58,9249.26,1,"S",1.06558663716814,0.0409259292035398
NA,"Sky-A3-7",240.98869,2.34844,NA,NA,NA,NA,240.9428853,-21.858838367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,240988.69,2348.44,1,"S",1.06632163716814,0.0103913274336283
NA,"Sky-A4-1",210.21182,-117.86456,NA,NA,NA,NA,240.808067,-22.359922882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,210211.82,-117864.56,1,"S",0.930140796460177,-0.521524601769911
NA,"Sky-A4-2",204.2974,-127.84223,NA,NA,NA,NA,240.7817181,-22.401585853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,204297.4,-127842.23,1,"S",0.903970796460177,-0.565673584070796
NA,"Sky-A4-3",194.62485,-135.24114,NA,NA,NA,NA,240.7393413,-22.433225284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,194624.85,-135241.14,3,"S",0.861171902654867,-0.598412123893805
NA,"Sky-A4-4",187.89242,-144.44874,NA,NA,NA,NA,240.7092252,-22.471734615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,187892.42,-144448.74,3,"S",0.831382389380531,-0.639153716814159
NA,"Sky-A4-5",183.77509,-155.90952,NA,NA,NA,NA,240.6900217,-22.51884869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,183775.09,-155909.52,1,"S",0.813164115044248,-0.689865132743363
NA,"Sky-A4-6",174.59961,-163.20532,NA,NA,NA,NA,240.6492964,-22.549781992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,174599.61,-163205.32,2,"S",0.772564646017699,-0.722147433628319
NA,"Sky-A4-7",167.93867,-172.85157,NA,NA,NA,NA,240.6190603,-22.589679055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,167938.67,-172851.57,1,"S",0.743091460176991,-0.764829955752212
NA,"Sky-A5-1",-146.00589,-186.68498,NA,NA,NA,NA,239.2027112,-22.648875889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-146005.89,-186684.98,3,"S",-0.646043761061947,-0.826039734513274
NA,"Sky-A5-2",-157.43205,-182.47249,NA,NA,NA,NA,239.1519634,-22.630296257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-157432.05,-182472.49,1,"S",-0.696601991150442,-0.807400398230088
NA,"Sky-A5-3",-166.02924,-174.68645,NA,NA,NA,NA,239.1133305,-22.597736655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-166029.24,-174686.45,1,"S",-0.734642654867257,-0.77294889380531
NA,"Sky-A5-4",-174.24185,-166.49577,NA,NA,NA,NA,239.0764561,-22.563490291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-174241.85,-166495.77,1,"S",-0.770981637168142,-0.736706946902655
NA,"Sky-A5-5",-182.05086,-157.91943,NA,NA,NA,NA,239.0414255,-22.527637552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-182050.86,-157919.43,1,"S",-0.805534778761062,-0.698758539823009
NA,"Sky-A5-6",-186.29388,-146.50458,NA,NA,NA,NA,239.0216218,-22.480706827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-186293.88,-146504.58,3,"S",-0.824309203539823,-0.648250353982301
NA,"Sky-A5-7",-194.75684,-138.53077,NA,NA,NA,NA,238.9841007,-22.446981341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-194756.84,-138530.77,2,"S",-0.86175592920354,-0.612968008849557
NA,"Sky-H1-1",-181.17025,158.92893,NA,NA,NA,NA,239.052023,-21.208135535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-181170.25,158928.93,1,"S",-0.801638274336283,0.703225353982301
NA,"Sky-H1-2",-173.31368,167.46173,NA,NA,NA,NA,239.0873101,-21.17274656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-173313.68,167461.73,1,"S",-0.766874690265487,0.74098110619469
NA,"Sky-H1-3",-163.68583,174.14922,NA,NA,NA,NA,239.1300612,-21.144675461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-163685.83,174149.22,2,"S",-0.724273584070796,0.770571769911504
NA,"Sky-H1-4",-156.41534,183.34477,NA,NA,NA,NA,239.1631085,-21.106895722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-156415.34,183344.77,1,"S",-0.692103274336283,0.811260044247788
NA,"Sky-H1-5",-150.47098,194.61368,NA,NA,NA,NA,239.1907858,-21.06117928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-150470.98,194613.68,0,"S",-0.665800796460177,0.861122477876106
NA,"Sky-H1-6",-138.06861,197.53006,NA,NA,NA,NA,239.2452823,-21.048109608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-138068.61,197530.06,1,"S",-0.610923053097345,0.874026814159292
NA,"Sky-H1-7",-128.4047,203.94434,NA,NA,NA,NA,239.2885255,-21.021536305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-128404.7,203944.34,1,"S",-0.568162389380531,0.902408584070796
NA,"Sky-H1-8",-118.44464,209.88551,NA,NA,NA,NA,239.3330691,-20.99692807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-118444.64,209885.51,1,"S",-0.524091327433628,0.928696946902655
NA,"Sky-H2-1",-102.90809,223.4411,NA,NA,NA,NA,239.4032079,-20.941948165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-102908.09,223441.1,0,"S",-0.455345530973451,0.988677433628319
NA,"Sky-H2-2",-88.67096,219.78731,NA,NA,NA,NA,239.4656311,-20.955047419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-88670.96,219787.31,3,"S",-0.392349380530974,0.972510221238938
NA,"Sky-H2-3",-79.30977,227.57641,NA,NA,NA,NA,239.5078984,-20.923685998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-79309.77,227576.41,1,"S",-0.350928185840708,1.00697526548673
NA,"Sky-H2-4",-68.26826,231.12877,NA,NA,NA,NA,239.5571826,-20.908986646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-68268.26,231128.77,1,"S",-0.302071946902655,1.02269367256637
NA,"Sky-H2-5",-57.06862,234.14576,NA,NA,NA,NA,239.6071586,-20.896505782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-57068.62,234145.76,1,"S",-0.252516017699115,1.03604318584071
NA,"Sky-H2-6",-46.68566,241.5294,NA,NA,NA,NA,239.6537921,-20.867211136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-46685.66,241529.4,0,"S",-0.206573716814159,1.06871415929204
