"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6243617361481456000",56.71419,134.9123,146.348310679167,3.23737687580239,4.31443954192854,5.20612264105344,240.34204,-21.445534,17.6380996704102,16.8404006958008,16.5254001617432,16.3658008575439,16.2486000061035,16.891495,17.488016,16.148794,6.56521067439883,-9.80036007051735,1,19,-99,1,1,-999,"False",58559.782448978,129754.413142857,1,56714.19,134912.3,NA,"P",0.250947743362832,0.596957079646018
2,"6246531754486118528",-123.12546,116.87198,169.761416727512,3.12944956539851,-0.759347613300469,3.88879717869898,239.52162,-21.52327,17.9228000640869,17.206600189209,16.8826007843018,16.7164001464844,16.6166000366211,17.23172,17.795168,16.512499,0.924295902501516,0.744209856621306,1,19,-99,1,1,-999,"False",-126855.137551019,112186.077142857,1,-123125.46,116871.98,NA,"P",-0.544802920353982,0.517132654867257
3,"6243488611238509056",-172.05995,9.43876,172.318648394015,1.98743997344347,-0.0548024623616072,2.04224243580508,239.2967,-21.977842,18.3337993621826,17.6765995025635,17.3708000183105,17.2045001983643,17.1096992492676,17.695522,18.225088,16.985773,-8.64034680868221,-2.99010178892257,1,19,-99,1,1,-999,"False",-177687.057551024,9452.80514285575,1,-172059.95,9438.76,NA,"P",-0.761327212389381,0.0417644247787611
4,"6243524830704396544",-121.70974,70.74479,140.776724365258,-0.525392825967545,-0.526524798454915,0.00113197248736974,239.52493,-21.717518,18.8665008544922,17.9512996673584,17.5361003875732,17.3285007476807,17.1840991973877,17.955893,18.621735,17.139977,-3.24449120576048,-3.02109073408014,1,19,-99,1,1,-999,"False",-126107.077551019,68286.0291428575,1,-121709.74,70744.79,NA,"P",-0.538538672566372,0.313030044247788
5,"6243542044934154624",66.85391,29.5249,73.0832744360712,1.31489867830067,3.55746692394368,4.04061706153658,240.39188,-21.892767,17.1497993469238,16.5804004669189,16.3255996704102,16.2185001373291,16.1338996887207,16.598248,17.063452,15.959352,-1.89600256071502,-7.58803564725706,1,19,-99,1,1,-999,"False",69823.6224489755,28679.7551428557,1,66853.91,29524.9,NA,"P",0.295813761061947,0.130641150442478
6,"6243610798770704256",32.78599,117.61225,122.096529395158,3.23612615420709,4.44052734936001,5.07878411202666,240.23329,-21.517479,17.400899887085,16.7460994720459,16.4603996276855,16.3229999542236,16.2147006988525,16.782082,17.299139,16.093504,-5.75732160104511,-5.58053685138715,1,19,-99,1,1,-999,"False",33982.282448981,113494.843142857,1,32785.99,117612.25,NA,"P",0.145070752212389,0.520408185840708
7,"6243435357945217280",15.64354,-35.73171,39.0060949500934,1.94402919167581,1.98346317896678,6.24375131988861,240.15561,-22.173294,17.8593997955322,17.2376003265381,16.9796009063721,16.8579998016357,16.777099609375,17.27542,17.74691,16.606949,-6.86106810334312,-2.27292145082365,1,19,-99,1,1,-999,"False",16426.6024489776,-34719.3468571425,1,15643.54,-35731.71,NA,"P",0.069219203539823,-0.158104911504425
8,"6243414398504600064",-115.90508,-106.07685,157.11869931911,2.3391580172658,0.741152149518906,1.59800586774689,239.55023,-22.469364,17.9475002288818,17.4477005004883,17.2031002044678,17.1032009124756,17.0209007263184,17.457968,17.853052,16.825935,1.07733114383399,-4.77112251105784,1,19,-99,1,1,-999,"False",-120389.277551022,-101631.166857143,1,-115905.08,-106076.85,NA,"P",-0.512854336283186,-0.469366592920354
9,"6243216108457414400",24.46619,-97.98223,100.990652284699,1.5478641592544,1.81549287806679,6.0155565883672,240.1963,-22.43888,15.809100151062,15.1293001174927,14.8643999099731,14.7508001327515,14.6604995727539,15.169094,15.686036,14.495978,-4.30595707789328,-7.39020685863068,1,19,-99,1,1,-999,"False",25622.5424489804,-94741.7828571431,1,24466.19,-97982.23,NA,"P",0.108257477876106,-0.433549690265487
10,"6243358834507740160",139.35385,43.94074,146.117364271226,4.02783277576202,3.44704250327727,0.580790272484752,240.72144,-21.831522,18.1037998199463,17.502799987793,17.2180995941162,17.0750999450684,16.9799003601074,17.511469,17.995876,16.835192,-1.94866105290421,-1.89595220435975,1,19,-99,1,1,-999,"False",144304.182448979,42521.1251428572,1,139353.85,43940.74,NA,"P",0.616609955752212,0.194428053097345
