#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,17 59 26.87,-21 51 51.4 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,270_m20_comissioning Tile 000
#TILING_DATE,2021 06 15 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"4070780933851378560",-82.52071,104.09121,132.833156923142,-0.321281256357446,-0.900477599152731,0.579196342795285,269.4841,-21.420065,18.7784004211426,17.3101997375488,16.4580001831055,15.9764995574951,15.6541996002197,17.074425,18.172087,15.916091,-0.0959239429901214,-3.83047986295964,1,1,-999,"False",-85401.701818175,100389.713636363,1,-82520.71,104091.21,NA,"P",-0.365135884955752,0.460580575221239
2,"4070719837934144768",54.25351,61.62183,82.1017251942308,3.48995889480337,3.99049365387398,5.78265054810898,270.112,-21.600073,17.346700668335,16.4409008026123,15.9843997955322,15.724100112915,15.5436000823975,16.421085,17.133904,15.577789,-0.225023172918313,-1.99074931334526,1,1,-999,"False",56503.6981818275,59707.9056363638,1,54253.51,61621.83,NA,"P",0.240059778761062,0.27266296460177
3,"4069484609649191808",80.85693,-172.61842,190.617318343117,0.583510885959345,2.00885759525834,4.85783859788059,270.23135,-22.59197,18.5743007659912,16.2119007110596,14.753999710083,13.9061002731323,13.3347997665405,15.428352,17.485,14.057334,0.495285646934257,-2.74423240330462,1,1,-999,"False",83476.7981818269,-164460.816363637,1,80856.93,-172618.42,NA,"P",0.357774026548673,-0.763798318584071
4,"4070320856983949440",-24.43722,-21.07864,32.2720743922358,1.68948750756776,0.711742427078469,0.977745080489293,269.7486,-21.954927,19.1919002532959,17.6730995178223,16.7961006164551,16.1949005126953,15.8460998535156,17.394695,18.647055,16.242481,-1.12337767183122,-1.95698682832114,1,1,-999,"False",-25624.7018181754,-20489.0983636369,1,-24437.22,-21078.64,NA,"P",-0.108129292035398,-0.0932683185840708
5,"4070795777285798144",-55.77936,170.09083,179.003428604311,0.38734916441701,-1.25390880446848,1.64125796888549,269.60892,-21.144258,16.3127994537354,15.4942998886108,15.0896997451782,14.9069995880127,14.7449998855591,15.472328,16.111563,14.680038,-5.86145528410854,-6.24531807496395,1,1,-999,"False",-57192.381818175,162722.095636363,1,-55779.36,170090.83,NA,"P",-0.246811327433628,0.752614292035398
6,"4070393008099996928",-153.58685,21.83035,155.130540752119,-1.13787695269578,-0.141191089764254,5.28649944424806,269.15912,-21.769964,15.4019002914429,14.7628002166748,14.4743003845215,14.2804002761841,14.1805000305176,14.7628565,15.285738,13.9996,3.01662181498721,0.0802607590204015,1,1,-999,"False",-158847.181818184,21312.539636363,1,-153586.85,21830.35,NA,"P",-0.679587831858407,0.0965944690265487
7,"4070595215159844352",-155.97607,95.60052,182.942597108807,2.80620090210305,-0.549863825119873,3.35606472722292,269.15335,-21.458487,18.5900001525879,17.2879009246826,16.5209007263184,16.0412998199463,15.7679996490479,17.079142,18.149948,15.976203,2.94924068529683,-7.26869179238288,1,1,-999,"False",-160151.20181818,91706.341636363,1,-155976.07,95600.52,NA,"P",-0.690159601769911,0.423011150442478
8,"4070793234643755904",-56.3004,153.37342,163.380356844562,3.25431097006628,-1.21898674448333,4.4732977145496,269.60568,-21.213085,19.3624000549316,17.7492008209229,16.7856998443604,16.1436004638672,15.7658004760742,17.381708,18.718784,16.047297,-0.807654044642515,-0.835746313378629,1,1,-999,"False",-57924.6218181762,147167.193636364,1,-56300.4,153373.42,NA,"P",-0.249116814159292,0.678643451327434
9,"4069959255083022592",183.76869,12.5088,184.193923628756,4.60914388093015,3.20955599716772,1.39958788376243,270.69824,-21.809355,17.7632007598877,16.1135005950928,15.112099647522,14.4467000961304,13.9778995513916,15.72762,17.166794,14.507741,-0.252000830779802,-1.53202079782404,1,1,-999,"False",188993.938181822,12410.1736363634,1,183768.69,12508.8,NA,"P",0.813135796460177,0.0553486725663717
10,"4070761756811737344",-50.542,43.92501,66.9619314797602,-0.179721282158053,-0.715466872697484,0.535745590539431,269.62863,-21.675625,18.3852005004883,17.2007999420166,16.5765991210938,16.2119998931885,15.9979000091553,17.121647,18.06723,16.15977,0.240599211573853,-2.50649268923252,1,1,-999,"False",-52737.9218181807,42633.1536363634,1,-50542,43925.01,NA,"P",-0.223637168141593,0.194358451327434
11,"4069876860425258496",193.50437,-72.11899,206.506876223812,4.61906385364289,2.78484034732531,1.83422350631758,270.74057,-22.16523,18.6650009155273,17.3803005218506,16.6394004821777,16.1408996582031,15.8512001037598,17.175467,18.231699,16.122086,-0.892741692640376,-2.79448958094991,1,1,-999,"False",198560.51818182,-68017.5763636368,1,193504.37,-72118.99,NA,"P",0.856214026548673,-0.319110575221239
12,"4070799586887151616",68.66465,151.21501,166.074722365936,2.63887161289207,4.28614216418719,4.63591475588447,270.17444,-21.222593,17.7789993286133,16.8206005096436,16.3281993865967,16.1021995544434,15.8922996520996,16.789066,17.559778,15.91556,1.13271309957853,0.674249887205054,1,1,-999,"False",70615.1381818232,145018.385636363,1,68664.65,151215.01,NA,"P",0.303825884955752,0.66909296460177
