#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,17 59 24.01,-21 43 13.8 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,a test_label
#TILING_DATE,2021 06 15 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"4070987225425320832",-122.00859,156.05127,198.086079527061,0.528599933186796,-0.907221232687579,1.43582116587437,269.29874,-21.06153,19.2835998535156,17.3405990600586,16.2616004943848,15.5869998931885,15.1923999786377,16.907755,18.294155,15.538108,-0.794631210531753,-0.472378532015614,1,1,-999,"False",-124590.273406594,148926.425274724,1,-122008.59,156051.27,NA,"P",-0.539861017699115,0.690492345132743
2,"4069926986970964480",140.04997,-94.9985,169.229752405571,0.752027707974799,2.54556664638526,4.48964636876913,270.4905,-22.121767,19.1639003753662,17.8768005371094,17.1664009094238,16.7476997375488,16.4678001403809,17.76136,18.68803,16.640793,-0.33052968985802,-1.058203854474,1,1,-999,"False",144747.486593403,-90687.136725275,1,140049.97,-94998.5,NA,"P",0.619690132743363,-0.420347345132743
3,"4070742034324822656",140.96001,89.58545,167.018793166825,3.38386940040871,3.70773402871577,5.95932067887252,270.4917,-21.339457,17.2987995147705,15.1968002319336,14.0882997512817,13.2419996261597,12.753399848938,14.628639,16.38463,13.330672,-0.287926323456863,0.494806793053092,1,1,-999,"False",145018.686593399,86114.9232747248,1,140960.01,89585.45,NA,"P",0.62371685840708,0.396395796460177
4,"4069535285952031360",21.36423,-186.69338,187.911810324198,4.18546955100351,1.68473555001791,2.5007340009856,269.9476,-22.508425,15.5687999725342,14.8210000991821,14.4713001251221,14.3236999511719,14.1680002212524,14.819184,15.417232,14.093926,-2.4209616822071,0.0385679474901415,1,1,-999,"False",22052.0865934091,-178071.844725275,1,21364.23,-186693.38,NA,"P",0.0945319911504425,-0.826076902654867
5,"4070722758508774016",20.25039,41.19986,45.9075893417603,3.52999145897328,4.25555158515199,5.55762518100087,269.9436,-21.543406,19.202600479126,17.6044006347656,16.6769008636475,16.1266002655029,15.7609996795654,17.30913,18.576214,16.160301,-1.30011787291352,-4.18172796855365,1,1,-999,"False",21148.0865934047,40022.4492747245,1,20250.39,41199.86,NA,"P",0.0896034955752212,0.182300265486726
6,"4069880055881002112",183.51574,-99.43009,208.720793466189,4.65499318023799,2.64506150219202,2.00993167804597,270.6826,-22.136303,18.764799118042,17.5468997955322,16.8430995941162,16.3740997314453,16.0839004516602,17.372446,18.42673,16.316683,-0.708024304302504,-1.73849841002399,1,1,-999,"False",188162.086593399,-93972.2727252757,1,183515.74,-99430.09,NA,"P",0.812016548672566,-0.439956150442478
7,"4069552092177829888",-27.83755,-162.4466,164.814523151215,-1.023422152855,1.40108047747287,3.85868267685171,269.72232,-22.40927,16.7061996459961,15.8888998031616,15.4940004348755,15.2617998123169,15.118800163269,15.871467,16.53053,15.092447,0.571940896876126,-6.74690124879499,1,1,-999,"False",-28861.1934065905,-155662.814725275,1,-27837.55,-162446.6,NA,"P",-0.123175,-0.718790265486726
8,"4070838280269520512",164.7999,129.88952,209.833968760638,-0.292739781007514,3.80907538158122,2.18137014459085,270.59293,-21.172892,18.3388996124268,17.0275001525879,16.247200012207,15.746600151062,15.3838996887207,16.810326,17.948517,15.756089,-0.867932445194617,-1.83538034663836,1,1,-999,"False",167896.666593409,123758.613274724,1,164799.9,129889.52,NA,"P",0.729203097345133,0.574732389380531
9,"4069870606952594432",125.19828,-141.51088,188.944273460015,0.593641456376775,2.2951080823342,4.58171868122216,270.42105,-22.316652,16.3190994262695,15.4162998199463,14.9837999343872,14.6784000396729,14.5019998550415,15.387081,16.088388,14.53384,-1.00912579250699,-2.18864744980413,1,1,-999,"False",129051.786593399,-134731.146725276,1,125198.28,-141510.88,NA,"P",0.553974690265487,-0.626154336283186
10,"4070821439679685248",5.29614,168.76964,168.852718321705,3.12454227203619,4.68101839411459,4.72670918510118,269.8741,-21.00493,17.6557998657227,16.8342990875244,16.4083003997803,16.3311996459961,16.1030006408691,16.794334,17.449219,15.965817,0.79071100137442,-2.88729053181686,1,1,-999,"False",5441.08659340361,161718.025274724,1,5296.14,168769.64,NA,"P",0.0234342477876106,0.746768318584071
11,"4070817866266839296",-0.48417,154.93869,154.939446492832,2.74276202749673,-1.56767142349268,4.31043345098941,269.84784,-21.061937,15.5281000137329,14.7326002120972,14.315899848938,14.1040000915527,13.9668998718262,14.694008,15.339954,13.86001,1.70594686477084,-4.63139526723554,1,1,-999,"False",-493.673406591711,148834.443274725,1,-484.17,154938.69,NA,"P",-0.00214234513274336,0.685569424778761
12,"4070399781294013696",-165.68788,17.65059,166.625378938031,2.66435514576854,-0.106128897123689,2.77048404289223,269.094,-21.643883,20.2935009002686,17.8089008331299,15.6405000686646,14.5276002883911,13.8846998214722,16.256302,18.958963,14.73019,-4.36378586813528,-5.03875663605403,1,1,-999,"False",-170861.513406597,17314.6472747249,1,-165687.88,17650.59,NA,"P",-0.733132212389381,0.0780999557522124
13,"4070977329810425472",-147.8052,108.2062,183.180126830069,3.23246180671576,-0.631937587998985,3.86439939471474,269.17944,-21.261597,19.9456996917725,17.7098007202148,16.3633003234863,15.5616998672485,15.0468997955322,17.035177,18.867052,15.660513,0.450070333628941,-0.495299313275307,1,1,-999,"False",-151552.073406596,103711.283274725,1,-147805.2,108206.2,NA,"P",-0.654005309734513,0.478788495575221
14,"4070592741258652800",-186.40294,55.9137,194.608319165275,2.82893374981326,-0.291421445997333,3.12035519581059,269.00513,-21.482485,19.3854007720947,16.6109008789063,14.7433004379272,13.6577997207642,12.9647998809814,15.32239,17.893442,13.829695,-0.451147209408513,-8.36728598772542,1,1,-999,"False",-190946.133406594,53790.5952747246,1,-186402.94,55913.7,NA,"P",-0.824791769911504,0.247405752212389
15,"4070799312009228032",52.45814,112.42447,124.060944325926,2.7609793900021,4.27581012172732,4.76835457545437,270.09024,-21.240526,18.1277008056641,17.1574001312256,16.6315002441406,16.2770004272461,16.0571994781494,17.075506,17.87294,16.103113,-0.0273775633819832,-0.642687232458158,1,1,-999,"False",54288.7265934027,108473.329274725,1,52458.14,112424.47,NA,"P",0.232115663716814,0.497453407079646
16,"4070317760272546304",-28.36085,-76.55185,81.6365331891611,1.75833675930766,1.21599518480632,0.542341574501342,269.71893,-22.048382,17.2761993408203,15.8093996047974,14.9602003097534,14.3494997024536,13.9212999343872,15.534061,16.734169,14.318368,-0.372240832765787,-3.41312815027736,1,1,-999,"False",-29627.333406596,-74102.1267252754,1,-28360.85,-76551.85,NA,"P",-0.125490486725664,-0.338725
17,"4070782407014724352",-68.91791,73.16107,100.509802916497,0.0157643217028092,-0.815254087014695,0.831018408717505,269.53314,-21.406984,18.5687999725342,17.1825008392334,16.3864002227783,15.9062995910645,15.5903997421265,16.992384,18.050886,15.842211,-0.199145001509147,0.396753467812052,1,1,-999,"False",-71615.8734065954,70853.8212747244,1,-68917.91,73161.07,NA,"P",-0.304946504424779,0.323721548672566
18,"4070767911538128640",-67.3376,51.91494,85.0265450842477,-0.101419040283012,-0.656784315959881,0.555365275676869,269.54,-21.497799,18.3136005401611,16.2192001342773,15.0066995620728,14.2453002929688,13.8101997375488,15.655847,17.360682,14.3519945,-0.527630443797569,-2.64466832876009,1,1,-999,"False",-70065.5134065914,50329.6312747246,1,-67337.6,51914.94,NA,"P",-0.297953982300885,0.229712123893805
19,"4070837485675011456",164.70922,114.74785,200.739124817836,-0.260608854025687,3.75007972068178,2.27249673247212,270.5944,-21.235518,19.2068996429443,17.8407001495361,17.0510997772217,16.5492000579834,16.2296009063721,17.644331,18.779581,16.570787,1.07716604778209,-4.13631924455387,1,1,-999,"False",168228.886593406,109605.137274725,1,164709.22,114747.85,NA,"P",0.72880185840708,0.507733849557522
20,"4070343633158296704",-177.41234,-94.02642,200.788709947278,2.50201954327008,0.487349249542051,2.01467029372803,269.28867,-22.453444,14.7627000808716,14.2149000167847,13.9397001266479,13.7665996551514,13.6344995498657,14.193,14.668583,13.544598,0.919643127241888,0.0531227806089146,1,NA,NA,"",-126866.09340659,-165646.138725276,0,-123582.94,-174834.27,NA,"P",-0.546827168141593,-0.77360296460177
21,"4070275983164521216",-123.58294,-174.83427,214.102230314111,2.74905934347108,0.955482729786152,1.79357661368492,269.04337,-22.114552,14.7348003387451,14.1871995925903,13.9231004714966,13.7277002334595,13.5769996643066,14.159039,14.650431,13.49057,-1.09748690793635,-1.74742430154345,1,NA,NA,"",-182303.8934066,-89056.5467252753,0,-177412.34,-94026.42,NA,"P",-0.785010353982301,-0.41604610619469
NA,"Sky-A1-1",-226.46104,82.44066,NA,NA,NA,NA,268.8370044,-21.373957077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-226461.04,82440.66,1,"S",-1.00204,0.364781681415929
NA,"Sky-A1-2",-222.23219,93.24117,NA,NA,NA,NA,268.8562101,-21.329076473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-222232.19,93241.17,1,"S",-0.983328274336283,0.412571548672566
NA,"Sky-A1-3",-217.48859,103.8257,NA,NA,NA,NA,268.8777007,-21.285105485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-217488.59,103825.7,1,"S",-0.96233889380531,0.459405752212389
