"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6864300918125676544",-1.91321,35.6738,35.7250665351949,1.57810762777187,-1.51721698090677,3.09532460867863,300.06534,-21.860554,16.0930004119873,15.5090999603271,15.2632999420166,15.1539001464844,15.069299697876,15.530519,15.999649,14.896278,11.8659657145788,-3.14617750689849,1,1,-999,"False",-1989.59898989915,34684.2884848478,1,-1913.21,35673.8,NA,"P",-0.00846553097345133,0.157848672566372
2,"6865827899257619584",92.9022,136.85129,165.405847355842,2.91365182534402,4.11599561105882,5.08084152146478,300.4978,-21.433073,16.5900993347168,16.0308990478516,15.7870998382568,15.6815004348755,15.6048002243042,16.049316,16.499805,15.418051,-4.5968616285436,-2.89878182606855,1,1,-999,"False",95746.361010099,131294.994484848,1,92902.2,136851.29,NA,"P",0.411071681415929,0.605536681415929
3,"6852163546705217792",108.16858,-180.21208,210.182861996745,0.400431106500742,2.11138445117421,4.57223196250612,300.56665,-22.770426,18.230899810791,17.2621994018555,16.846700668335,16.6364002227783,16.5121002197266,17.288918,17.970798,16.452526,-3.42014130324115,-3.05220548071279,1,1,-999,"False",111306.461010098,-170946.783515152,1,108168.58,-180212.08,NA,"P",0.47862203539823,-0.797398584070796
4,"6864524492646367744",-63.71772,128.08674,143.059990234258,0.0633757307236887,-1.10918471972242,1.1725604504461,299.7829,-21.468462,18.6980991363525,17.957799911499,17.6025009155273,17.4428997039795,17.2991008758545,17.995981,18.499914,17.21865,4.52995245734627,-4.22402734426505,1,1,-999,"False",-65821.038989901,123297.080484848,1,-63717.72,128086.74,NA,"P",-0.281936814159292,0.566755486725664
5,"6864507488872776320",-49.12301,90.77579,103.214893119085,0.0702036849910046,-1.07477575380442,1.14497943879543,299.84814,-21.625322,16.3341007232666,15.7271995544434,15.4753999710083,15.3465995788574,15.2754001617432,15.751497,16.231966,15.105527,-4.02315745718799,-3.49750292300441,1,1,-999,"False",-51076.7989898972,87846.7204848478,1,-49123.01,90775.79,NA,"P",-0.217358451327434,0.401662787610619
6,"6866027937355898624",74.80551,192.66887,206.681295219081,0.286398535349602,4.34204455673916,2.22753928579003,300.41214,-21.203056,18.2712001800537,17.7224006652832,17.4589996337891,17.3456993103027,17.2679004669189,17.730568,18.178215,17.091053,-1.41869142292685,-1.89860133581573,1,1,-999,"False",76387.2010100948,183278.836484848,1,74805.51,192668.87,NA,"P",0.330997831858407,0.852517123893805
7,"6864318647750812928",-33.35365,77.66607,84.5250518933139,1.68019440855226,-1.16516301102238,2.84535741957465,299.9205,-21.681181,16.1685009002686,15.4785003662109,15.2239999771118,15.1104001998901,15.0318002700806,15.526056,16.045378,14.85683,3.70794725262035,-4.47501655452416,1,1,-999,"False",-34723.4389898964,75222.5864848482,1,-33353.65,77666.07,NA,"P",-0.147582522123894,0.34365517699115
8,"6864193131626011136",42.43082,-116.1877,123.692991382545,1.2020739558718,1.92094061070548,5.5643186523459,300.2699,-22.509645,17.6608009338379,17.0736999511719,16.824800491333,16.703800201416,16.6404991149902,17.130733,17.558334,16.45277,-0.422897272330894,-5.99210237181841,1,1,-999,"False",44240.9610101042,-112010.277515153,1,42430.82,-116187.7,NA,"P",0.187746991150442,-0.514104867256637
9,"6865738009885505792",184.39129,7.64794,184.549827456185,0.902685194967406,3.1830455817494,4.00282492039759,300.91428,-21.979794,16.800500869751,16.2521991729736,16.023099899292,15.9303998947144,15.8601999282837,16.281322,16.72449,15.670972,1.77811997952566,-0.674349824609578,1,1,-999,"False",189870.841010094,7736.04848484749,1,184391.29,7647.94,NA,"P",0.815890663716814,0.0338404424778761
10,"6864309576780091648",47.51781,72.84657,86.9745079202004,1.41311232148605,4.1343986602812,3.56189896838443,300.29333,-21.701956,15.5689001083374,14.9973001480103,14.7386999130249,14.6236000061035,14.5406999588013,15.007729,15.471658,14.37075,-4.30834977318623,-10.3166184339168,1,1,-999,"False",49536.1410100957,70527.4364848481,1,47517.81,72846.57,NA,"P",0.210255796460177,0.322329955752212
