#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,20 00 13.56,-22 00 32.4 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,300_m20_comissioning Tile 000
#TILING_DATE,2021 06 10 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","Re","GAL_MU_E_R","Mstar","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6865760588530044416",143.93961,72.78251,161.294467012518,1.12185193587218,3.60974697583602,3.79529026721574,300.71408,-21.698925,16.3502006530762,15.6602001190186,15.331000328064,15.1631002426147,15.0600004196167,15.671238,16.220428,14.962058,-10.1888937226561,-1.43277484862794,1,19,-99,1,1,-999,"False",148615.109387765,70078.4074693877,1,143939.61,72782.51,NA,"P",0.63690092920354,0.322046504424779
2,"6864236351880389632",182.72543,-6.47045,182.839955950245,-1.3764731273697,3.10619666327717,1.80051551653272,300.8895,-22.034416,17.6536998748779,17.1081008911133,16.8668994903564,16.7723007202148,16.6923007965088,17.131731,17.580133,16.50267,4.74777031727944,-3.64855432414945,1,19,-99,1,1,-999,"False",188260.029387759,-5742.55853061256,1,182725.43,-6470.45,NA,"P",0.808519601769911,-0.0286303097345133
3,"6864130803061422976",-125.67473,-160.95565,204.207881893661,2.66399507611653,0.907870681580137,1.75612439453639,299.48315,-22.685184,15.9499998092651,15.3549995422363,15.1159000396729,15.013500213623,14.9497003555298,15.39079,15.862086,14.760525,1.80275708468809,1.63285695921062,1,19,-99,1,1,-999,"False",-129575.070612236,-152816.126530612,1,-125674.73,-160955.65,NA,"P",-0.556082876106195,-0.71219314159292
4,"6864399427497111680",-179.41402,58.1536,188.603371564562,2.13398324047735,-0.313445487055764,2.44742872753312,299.24072,-21.761232,15.3673000335693,14.7012996673584,14.3962001800537,14.2665004730225,14.160400390625,14.717987,15.252239,14.033809,2.34260847500104,4.84277983240575,1,19,-99,1,1,-999,"False",-184364.250612239,55997.0254693876,1,-179414.02,58153.6,NA,"P",-0.793867345132743,0.257316814159292
5,"6864207700155177088",13.25013,-102.98756,103.836426458977,1.46349628443213,1.69875099259333,6.04793059901839,300.1177,-22.449522,17.1907005310059,16.5785999298096,16.2789993286133,16.1392993927002,16.0408992767334,16.58624,17.084604,15.90654,3.17632676240505,-1.26108150247002,1,19,-99,1,1,-999,"False",13833.2293877621,-99556.5145306129,1,13250.13,-102987.56,NA,"P",0.0586288938053097,-0.455697168141593
6,"6866037974698142080",-3.64166,205.98942,206.021607700484,0.450861453491993,-1.55311929911037,2.00398075260236,300.04028,-21.142012,16.8535995483398,15.6857004165649,15.1499004364014,14.879599571228,14.6991996765137,15.706201,16.254053,14.677565,2.97339079848929,-5.94068507256659,1,19,-99,1,1,-999,"False",-3663.69061224191,195940.745469387,1,-3641.66,205989.42,NA,"P",-0.0161135398230088,0.911457610619469
7,"6864224467708009600",36.36261,-11.01558,37.994504980964,3.80290785040329,2.84744354617316,0.955464304230129,300.2252,-22.056326,18.4220008850098,17.8593997955322,17.5977993011475,17.4878005981445,17.4101009368896,17.876036,18.32291,17.210602,6.34198636254849,-5.52806851576206,1,19,-99,1,1,-999,"False",38128.2293877529,-10694.2185306122,1,36362.61,-11015.58,NA,"P",0.160896504424779,-0.0487415044247788
8,"6864385958478931456",-195.26862,-4.26642,195.315222899601,-1.56693231354919,0.0218455033696565,4.69440749026074,299.16794,-22.024426,15.492600440979,14.9720001220703,14.7821998596191,14.7206001281738,14.6759996414185,15.008546,15.420235,14.432641,7.21753787894467,-5.31509579545063,1,19,-99,1,1,-999,"False",-200812.530612244,-3484.81853061212,1,-195268.62,-4266.42,NA,"P",-0.864020442477876,-0.0188779646017699
9,"6864550885222572544",-137.99841,129.17602,189.023822058407,2.75987343082558,-0.752389070893292,3.51226250171887,299.43042,-21.462156,16.7710990905762,15.8951997756958,15.5571002960205,15.3866996765137,15.2666997909546,15.942952,16.57008,15.17655,0.779590242780144,-8.38241080484178,1,19,-99,1,1,-999,"False",-141492.050612235,123588.201469387,1,-137998.41,129176.02,NA,"P",-0.610612433628319,0.571575309734513
10,"6865828032399651328",102.81822,142.24267,175.5122888367,2.83664667697056,4.08650023269658,5.03333175145356,300.5242,-21.406221,18.574499130249,17.8967990875244,17.600700378418,17.4528007507324,17.3556003570557,17.925726,18.457602,17.214973,0.956476965652776,5.01376249860963,1,19,-99,1,1,-999,"False",105702.229387761,136229.511469388,1,102818.22,142242.67,NA,"P",0.454947876106195,0.629392345132743
11,"6864313734308124928",10.15818,61.34818,62.1835011094165,3.41307167151339,4.54829543249537,5.1479615461976,300.1035,-21.74569,17.5452003479004,16.9290008544922,16.6756000518799,16.539400100708,16.4619007110596,16.96218,17.446663,16.315588,-0.429094275394714,-0.98010246773603,1,19,-99,1,1,-999,"False",10624.0293877584,59509.5174693876,1,10158.18,61348.18,NA,"P",0.0449476991150442,0.271452123893805
12,"6852176534686400128",92.30242,-167.57522,191.314377650779,0.564310939708262,2.07426263938055,4.7732336075073,300.4783,-22.715267,14.9274997711182,14.4395999908447,14.2374000549316,14.1617002487183,14.1106004714966,14.458583,14.861225,13.885306,-1.32403283517071,-1.16516777645328,1,19,-99,1,1,-999,"False",95328.8293877568,-159614.884530613,1,92302.42,-167575.22,NA,"P",0.408417787610619,-0.741483274336283
13,"6864163307373909632",-67.69739,-106.88136,126.517041256353,1.90853884632516,1.00618778955078,0.902351056774386,299.74393,-22.464506,17.9351005554199,17.4260005950928,17.2117004394531,17.1278991699219,17.0358009338379,17.453274,17.856054,16.846455,-3.46121298837995,-1.7586675291449,1,19,-99,1,1,-999,"False",-70638.790612246,-102942.898530613,1,-67697.39,-106881.36,NA,"P",-0.299545973451327,-0.472926371681416
14,"6864172206546342400",-159.72245,-111.94375,195.045287556672,2.52147258478944,0.611305740942135,1.9101668438473,299.32767,-22.479158,17.824800491333,17.3302993774414,17.113899230957,17.0174999237061,16.9750995635986,17.351067,17.748522,16.762249,-0.917477410307484,-0.474966990921925,1,19,-99,1,1,-999,"False",-164713.550612238,-106254.250530613,1,-159722.45,-111943.75,NA,"P",-0.706736504424779,-0.495326327433628
15,"6864519854080979840",-20.32389,142.86405,144.302450731561,0.0588605806722932,-1.42948417631547,1.48834475698776,299.96375,-21.40097,18.4790000915527,17.8701000213623,17.6289005279541,17.5056991577148,17.440299987793,17.91777,18.407936,17.252487,-5.06936496742369,-5.16019926327112,1,19,-99,1,1,-999,"False",-20959.4706122399,137416.237469387,1,-20323.89,142864.05,NA,"P",-0.0899287168141593,0.632141814159292
16,"6852213570186830848",171.32338,-65.76023,183.510513007504,4.240518809954,2.77509718686122,1.46542162309278,300.83865,-22.28513,17.1804008483887,16.7439994812012,16.5345993041992,16.4433994293213,16.4148998260498,16.744492,17.115837,16.17099,-18.2915363836647,-15.1544657597217,1,19,-99,1,1,-999,"False",176767.929387753,-62403.9225306122,1,171323.38,-65760.23,NA,"P",0.758068053097345,-0.290974469026549
17,"6864279649447693696",-74.20511,-5.62103,74.4177017138597,-0.773340658903338,0.075605515805345,5.4342391324709,299.71326,-22.032679,18.3500995635986,17.7091007232666,17.4403991699219,17.3068008422852,17.2068996429443,17.74274,18.276733,17.057909,2.17438404566932,-8.770239682276,1,19,-99,1,1,-999,"False",-77570.2106122429,-5349.99653061288,1,-74205.11,-5621.03,NA,"P",-0.328341194690266,-0.024871814159292
18,"6864097371035736064",-16.85893,-163.71339,164.579152950904,-1.0599572848345,1.46817971964096,3.75504830270413,299.97882,-22.703192,17.7618999481201,17.270299911499,17.0669994354248,16.9909992218018,16.9188003540039,17.29433,17.71654,16.705421,-4.13715837024671,-7.0876912324164,1,19,-99,1,1,-999,"False",-17553.6506122187,-156885.934530613,1,-16858.93,-163713.39,NA,"P",-0.0745970353982301,-0.724395530973451
19,"6864329024392037504",47.65093,129.80409,138.274050026001,3.02858928166335,4.36056328956098,4.95121129928196,300.2747,-21.456038,17.425500869751,17.0650005340576,17.0445003509521,17.0697994232178,17.0228004455566,17.098265,17.316849,16.673746,3.99725169676126,-5.39995736790947,NA,NA,NA,1,NA,NA,"",49315.2293877581,124970.869469388,0,47650.93,129804.09,NA,"P",0.21084482300885,0.574354380530973
20,"6864204332900809600",47.73308,-71.80453,86.2226040827305,1.27059017511335,2.1574806721973,5.39629481009564,300.27734,-22.316353,17.1042003631592,16.988899230957,16.979700088501,16.9682006835938,16.9363994598389,16.949768,17.12522,16.614857,-0.219763443775412,-4.49688272523053,NA,NA,NA,1,NA,NA,"",49911.8693877548,-69460.3205306124,0,47733.08,-71804.53,NA,"P",0.211208318584071,-0.317719159292035
NA,"Sky-A1-1",-224.58157,81.75646,NA,NA,NA,NA,299.0494022,-21.664980569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-224581.57,81756.46,2,"S",-0.993723761061947,0.361754247787611
NA,"Sky-A1-2",-220.38782,92.46733,NA,NA,NA,NA,299.0685092,-21.620451953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-220387.82,92467.33,2,"S",-0.975167345132743,0.409147477876106
NA,"Sky-A1-3",-217.48859,103.8257,NA,NA,NA,NA,299.0823533,-21.573425324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-217488.59,103825.7,1,"S",-0.96233889380531,0.459405752212389
NA,"Sky-A1-4",-212.24121,114.16975,NA,NA,NA,NA,299.1061378,-21.530470749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-212241.21,114169.75,1,"S",-0.939120398230089,0.505175884955752
NA,"Sky-A1-5",-204.78839,123.21816,NA,NA,NA,NA,299.1392492,-21.492682974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-204788.39,123218.16,2,"S",-0.906143318584071,0.545213097345133
NA,"Sky-A1-6",-198.62268,132.92867,NA,NA,NA,NA,299.1671156,-21.452358755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-198622.68,132928.67,2,"S",-0.878861415929204,0.588179955752212
NA,"Sky-A1-7",-197.62022,146.5,NA,NA,NA,NA,299.1736558,-21.396999932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-197620.22,146500,0,"S",-0.874425752212389,0.648230088495575
NA,"Sky-A2-1",-3.01251,240.9813,NA,NA,NA,NA,300.0433054,-21.005098831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-3012.51,240981.3,1,"S",-0.0133296902654867,1.0662889380531
NA,"Sky-A2-2",8.5856,240.84715,NA,NA,NA,NA,300.095058,-21.005679661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,8585.6,240847.15,1,"S",0.0379893805309735,1.0656953539823
NA,"Sky-A2-3",20.16382,240.15512,NA,NA,NA,NA,300.1467215,-21.008569628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,20163.82,240155.12,1,"S",0.0892204424778761,1.06263327433628
NA,"Sky-A2-4",31.69534,238.90682,NA,NA,NA,NA,300.1981784,-21.013762021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,31695.34,238906.82,1,"S",0.140244867256637,1.05710982300885
NA,"Sky-A2-5",44.04872,242.02419,NA,NA,NA,NA,300.2530128,-21.002152265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,44048.72,242024.19,0,"S",0.194905840707965,1.07090349557522
NA,"Sky-A2-6",54.51158,234.75423,NA,NA,NA,NA,300.3000051,-21.03100127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,54511.58,234754.23,1,"S",0.241201681415929,1.03873553097345
NA,"Sky-A2-7",65.74346,231.85957,NA,NA,NA,NA,300.3501434,-21.043008618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,65743.46,231859.57,1,"S",0.290900265486726,1.02592730088496
NA,"Sky-A3-1",231.67752,66.38214,NA,NA,NA,NA,301.0948152,-21.729609366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,231677.52,66382.14,1,"S",1.0251217699115,0.293726283185841
NA,"Sky-A3-2",232.65609,54.7005,NA,NA,NA,NA,301.1000887,-21.778087095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,232656.09,54700.5,2,"S",1.02945172566372,0.242037610619469
NA,"Sky-A3-3",236.98531,43.80666,NA,NA,NA,NA,301.1192137,-21.823448873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,236985.31,43806.66,1,"S",1.04860756637168,0.193834778761062
NA,"Sky-A3-4",236.83654,32.08506,NA,NA,NA,NA,301.1194559,-21.872169868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,236836.54,32085.06,2,"S",1.0479492920354,0.141969292035398
NA,"Sky-A3-5",238.106,20.65269,NA,NA,NA,NA,301.1254689,-21.919748455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,238106,20652.69,2,"S",1.05356637168142,0.0913835840707965
NA,"Sky-A3-6",238.82392,9.1725,NA,NA,NA,NA,301.1290115,-21.967538867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,238823.92,9172.5,2,"S",1.05674300884956,0.0405862831858407
NA,"Sky-A3-7",240.98869,2.34844,NA,NA,NA,NA,301.1383245,-21.995904973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,240988.69,2348.44,1,"S",1.06632163716814,0.0103913274336283
NA,"Sky-A4-1",210.21182,-117.86456,NA,NA,NA,NA,301.0031801,-22.496948877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,210211.82,-117864.56,1,"S",0.930140796460177,-0.521524601769911
