probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,Re,GAL_MU_E_R,Mstar,priority,remaining_observations,Tile_number,COMPLETED,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng
1.0,6864320812414324352,43.83652,88.08493,98.3900166623388,-0.10363163440049,4.25061354217626,1.92894013060284,300.0263,-21.596678,15.5193996429443,14.7404003143311,14.4040002822876,14.2201995849609,14.111499786377,14.764681,15.365012,14.023185,10.4758285133376,-2.9701463188531,1.0,19.0,-99.0,1.0,1.0,-999.0,False,45641.6685714175,85252.2273469384,1.0,43836.52,88084.93,NA,P,0.193966902654867,0.389756327433628,NA,NA,NA,NA
2.0,6864259544702647424,168.96026,54.79691,177.62395898306,0.689120116976917,3.45520788541303,3.51709753874347,300.594,-21.740427,18.762300491333,17.9796009063721,17.6347007751465,17.4629001617432,17.3465995788574,18.013521,18.619446,17.262901,0.515692521152797,-6.86987853595151,1.0,19.0,-99.0,1.0,1.0,-999.0,False,173941.868571418,52764.9533469385,1.0,168960.26,54796.91,NA,P,0.747611769911504,0.242464203539823,NA,NA,NA,NA
3.0,6864182273949717504,-68.89557,-63.61438,93.7730713393206,-1.05273894032986,0.745564200705622,4.4848821661441,299.50546,-22.245993,17.173900604248,15.9146995544434,15.3020000457764,15.021900177002,14.838399887085,15.857487,16.758883,14.918075,-8.30670585207,-3.47428646550765,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-72068.1714285744,-61492.9626530611,1.0,-68895.57,-63614.38,NA,P,-0.304847654867257,-0.281479557522124,NA,NA,NA,NA
4.0,6864484605287067648,-45.94101,55.81483,72.2901905361232,-0.67628410373425,-0.882129754675031,0.205845650940781,299.6123,-21.734346,16.6854000091553,15.9499998092651,15.6627998352051,15.5327997207642,15.4421997070313,15.991636,16.545504,15.295095,-7.41893493615054,-8.26658640326906,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-47922.3314285796,54139.2593469389,1.0,-45941.01,55814.83,NA,P,-0.203278805309734,0.246968274336283,NA,NA,NA,NA
5.0,6864171244473903872,-33.89472,-65.83633,74.0491349831131,-0.835286697178695,1.09535279874588,4.35254581125502,299.66727,-22.256035,18.4904003143311,17.5237007141113,17.1245994567871,16.9409008026123,16.8057994842529,17.558903,18.23865,16.747503,4.29317842954325,-4.7613393726338,1.0,19.0,-99.0,1.0,1.0,-999.0,False,-35499.1114285866,-63762.4546530616,1.0,-33894.72,-65836.33,NA,P,-0.149976637168142,-0.291311194690266,NA,NA,NA,NA
6.0,6864112351881812608,6.60839,-133.82813,133.99119074659,1.49922241165522,1.62013592863666,6.16227179019814,299.85468,-22.544004,17.9855003356934,17.3262004852295,17.0666007995605,16.9549007415771,16.8708000183105,17.378246,17.89758,16.71161,9.49022263082594,-2.98736819417331,1.0,19.0,-99.0,1.0,1.0,-999.0,False,6855.54857141335,-128843.448653062,1.0,6608.39,-133828.13,NA,P,0.0292406637168142,-0.592159867256637,NA,NA,NA,NA
7.0,6864307274677608704,136.42833,62.13425,149.911154520441,3.85063514664877,3.56895720776156,0.281677938887208,300.44888,-21.708616,17.6019992828369,16.7224006652832,16.3470993041992,16.1686992645264,16.0391998291016,16.753944,17.398882,15.970613,4.20127253120312,4.77139956000546,1.0,19.0,-99.0,1.0,1.0,-999.0,False,141144.748571414,59954.2393469388,1.0,136428.33,62134.25,NA,P,0.60366517699115,0.274930309734513,NA,NA,NA,NA
8.0,6852214845794793856,176.56217,-93.36797,199.72926099355,4.61981257450558,2.65516299532355,1.96464957918203,300.6283,-22.36531,17.3043003082275,16.5730991363525,16.2588996887207,16.0984992980957,15.9933004379272,16.613552,17.178122,15.888516,-0.877438172384768,-8.28209587004309,1.0,19.0,-99.0,1.0,1.0,-999.0,False,181693.668571425,-88458.6046530616,1.0,176562.17,-93367.97,NA,P,0.781248539823009,-0.413132610619469,NA,NA,NA,NA
9.0,6864198148147904000,85.0204,-93.19001,126.146131054266,1.00136559460958,2.31038406699801,4.97416683479116,300.21634,-22.370943,16.3990993499756,15.6634998321533,15.354700088501,15.2031002044678,15.0931997299194,15.699189,16.267403,14.985218,0.0534286156008658,-1.16588946689966,1.0,19.0,-99.0,1.0,1.0,-999.0,False,88590.7085714199,-89731.6626530615,1.0,85020.4,-93190.01,NA,P,0.376196460176991,-0.41234517699115,NA,NA,NA,NA
10.0,6864303735624448256,90.75272,56.68448,107.00087130612,-0.19410619084479,3.69990690116675,2.38917221516805,300.24222,-21.731037,17.7735996246338,16.9909000396729,16.5912990570068,16.3910999298096,16.242000579834,16.991354,17.62565,16.203764,1.16392685367235,-2.38130177504078,1.0,19.0,-99.0,1.0,1.0,-999.0,False,94439.5885714136,54887.0933469384,1.0,90752.72,56684.48,NA,P,0.401560707964602,0.250816283185841,NA,NA,NA,NA
