#OBS_TEMP,281.149994
#ROBOT_TEMP,292.149994
#MDLPARS,0,0.9997970635,-0.006807024613,0,0.004483847745,0.9998102979,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
#EQUINOX,J2000.0
#CENTRE,20 00 30.45,-21 58 26.0 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,300_m20_comissioning_within_half_radius Tile 000
#TILING_DATE,2021 06 17 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyPosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6864481203672936192",43.53358,-104.55769,113.258479266466,1.27247078563401,1.96532562877069,5.59033046404291,299.64694,-21.785006,17.158899307251,16.4810009002686,16.1737995147705,16.0200996398926,15.9127998352051,16.50057,17.015766,15.798305,-99,1,0,19,-0.753746162341092,-19.383569886651,1,-108462.934693888,42690.0993469388,1,43533.58,-104557.69,NA,"P",0.192626460176991,-0.462644646017699
2,"6864376097231097472",-22.60969,-165.31255,166.851542604192,1.91217494056636,1.4348703274252,0.477304613141164,299.3696,-22.064753,16.9085998535156,16.2255001068115,16.0023002624512,15.8243999481201,15.8701000213623,16.339203,16.792555,15.386279,-99,1,0,19,2.24403152395129,-0.794468396966816,1,-171141.774693883,-20532.7226530613,1,-22609.69,-165312.55,NA,"P",-0.100042876106195,-0.731471460176991
3,"6852181963525182080",-142.6047,55.46842,153.012568370662,-0.86296451818933,-0.370958513518508,5.79117930250876,300.37753,-22.580835,15.6670999526978,14.9545001983643,14.6358003616333,14.4801998138428,14.3787002563477,14.974548,15.532836,14.269658,-99,1,0,19,0.139074943123185,-1.81079907263885,1,56650.405306114,-137167.254653062,1,-142604.7,55468.42,NA,"P",-0.630994247787611,0.245435486725664
4,"6864526970844979072",142.13239,-61.87022,155.014645791811,0.857100389450293,2.7310303156528,4.40925538097708,299.849,-21.368196,17.8826999664307,16.5305004119873,15.3724002838135,14.8415002822876,14.5792999267578,16.080534,17.43748,14.920297,-99,1,0,19,3.77729249309266,-0.341900165879069,1,-62797.3746938836,136889.159346938,1,142132.39,-61870.22,NA,"P",0.628904380530974,-0.27376203539823
5,"6865809310639103104",83.81752,91.67937,124.219497433162,3.32986193385301,3.97175854586507,5.64128869516753,300.55045,-21.617485,16.1516990661621,15.5053997039795,15.2257995605469,15.0890998840332,14.9961004257202,15.528876,16.041933,14.856732,-99,1,0,19,-0.525505193309222,-8.51491000755025,1,95730.3253061215,80549.8453469389,1,83817.52,91679.37,NA,"P",0.370873982300885,0.40566092920354
6,"6864328646434910464",114.98963,34.97418,120.190716256329,3.9099458155774,3.43685309432329,0.473092721254105,300.2911,-21.483437,17.9799003601074,17.3159008026123,17.0063991546631,16.8542003631592,16.7469997406006,17.336123,17.861973,16.637846,-99,1,0,19,-7.85430534792809,-7.53537909454513,1,37117.2253061123,110844.693346939,1,114989.63,34974.18,NA,"P",0.508803672566372,0.154753008849558
7,"6864522882036210432",159.02535,-23.36342,160.732421548109,4.44950938023911,2.99571988081148,1.45378949942764,300.02548,-21.298048,16.040599822998,15.1773996353149,14.849100112915,14.683500289917,14.5928001403809,15.227797,15.854554,14.476958,-99,1,0,19,7.0166465076235,-0.810223720974575,1,-22912.8946938777,152742.607346938,1,159025.35,-23363.42,NA,"P",0.703651991150443,-0.10337796460177
8,"6864158531370344448",-117.52901,-115.4295,164.733231807763,2.05150949502641,0.776386030035269,1.27512346499114,299.59323,-22.469244,18.6284008026123,17.9613990783691,17.6893997192383,17.5615005493164,17.4855003356934,18.006987,18.524551,17.285067,-99,1,0,19,-1.69666877137323,-3.32346769251917,1,-120601.39469388,-111947.688653061,1,-117529.01,-115429.5,NA,"P",-0.520039867256637,-0.51075
9,"6864326236955014784",93.75622,-1.71651,93.7719318094093,1.17484793601606,3.12328647345303,4.33474676974262,300.122,-21.572155,18.4018001556396,17.7220993041992,17.3973999023438,17.2343006134033,17.1212997436523,17.746931,18.260885,17.03506,-99,1,0,19,-3.62771728553069,-6.37632231229874,1,-1099.37469387808,90794.4253469389,1,93756.22,-1716.51,NA,"P",0.414850530973451,-0.00759517699115044
10,"6864170832157039744",-75.80294,-99.13677,124.796573986134,2.41837291468578,0.917997633300357,1.50037528138543,299.6672,-22.29472,18.9433002471924,17.8174991607666,17.3388996124268,17.1161003112793,16.9733009338379,17.835938,18.56087,16.95569,-99,1,0,19,2.07114208357997,-4.37476709104153,1,-103884.174693886,-72505.2646530618,1,-75802.94,-99136.77,NA,"P",-0.335411238938053,-0.438658274336283
