#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 26 04.64,-21 55 20.6 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,350_m20_comissioning_within_half_radius Tile 001
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyFibrePosition,fibre_type,fraction_plate_radius_X,fraction_plate_radius_Y,grads,gangs,gazAngs,gangs_gazAng,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1.0,2391432017976811136,-3.906442382941068,49.424435448098464,49.5819009610725,0.0035131487249744,-1.49264395103626,1.49615709976123,351.50153,-21.709976,17.1805000305176,16.347900390625,15.974100112915,15.7940998077393,15.6354999542236,16.370113,17.021221,15.608847,-99.0,1.0,0.0,19.0,0.222670899635792,-1.52910689091077,1.0,-4019.84816326001,48004.074244898,1.0,-3871.0,49430.56,NA,P,-0.0171283185840708,0.218719292035398,NA,NA,NA,NA,rectangular_magnet,R01,1.0,I,1.0,A,-90.20128859474272,1.49615709976123,circular_magnet,Blu,1.0,TL,0.03546368063999998,0.006
2.0,2382377062981538816,-7.31157631194406,-120.04639412180029,120.229502060002,1.63975093314898,1.50987217431409,0.12987875883489,351.4852,-22.434656,18.0662994384766,17.4050006866455,17.1063995361328,16.9820003509521,16.8729000091553,17.448277,17.96015,16.753742,-99.0,1.0,0.0,19.0,-1.46607347391638,-3.30868528417501,1.0,-7710.42816325598,-115773.605755102,1.0,-7320.35,-120006.44,NA,P,-0.0323909292035398,-0.531001946902655,NA,NA,NA,NA,rectangular_magnet,R02,1.0,I,2.0,B,176.04919207792526,0.12987875883489,circular_magnet,Gre,1.0,TR,0.04046368063999998,0.006
3.0,2385392950361860096,-148.80437361317544,-57.226886779605564,159.424708795439,-1.30182291327854,0.367241475350276,4.61412091855077,350.83667,-22.163963,18.3619003295898,17.6653003692627,17.3852005004883,17.2598991394043,17.1466999053955,17.729126,18.293762,17.050165,-99.0,1.0,0.0,19.0,4.69655956166132,-7.55273803589893,1.0,-154278.208163255,-54596.9877551015,1.0,-148794.48,-57240.2,NA,P,-0.658382654867257,-0.253275221238938,NA,NA,NA,NA,rectangular_magnet,R03,1.0,I,3.0,C,-15.411041395714278,4.61412091855077,circular_magnet,Yel,1.0,TR,0.015463680639999975,0.006
4.0,2391425283468359808,41.94556639423454,49.68360598155407,64.9711405000905,3.53221794245219,4.01154485090506,5.80385839872671,351.71304,-21.709192,18.3211994171143,17.4347991943359,16.9437007904053,16.6935005187988,16.521900177002,17.461418,18.13895,16.54098,-99.0,1.0,0.0,19.0,2.18592278196232,-8.91570734107343,1.0,43781.4118367345,48181.2582448979,1.0,41897.49,49657.32,NA,P,0.185387123893805,0.219722654867257,NA,NA,NA,NA,rectangular_magnet,R04,1.0,I,4.0,D,67.61881957710631,5.80385839872671,circular_magnet,Blu,1.0,TR,0.05446368063999998,0.006
5.0,2385396833012264192,-67.59947276586969,-70.92286389614145,97.9855594642496,1.98190580675596,0.809404220392381,1.17250158636358,351.20636,-22.225727,18.368200302124,17.6758995056152,17.3827991485596,17.255500793457,17.1389999389648,17.72497,18.280373,17.025616,-99.0,1.0,0.0,19.0,3.99229811240477,-1.48975596253324,1.0,-70728.2681632565,-68555.6517551015,1.0,-67603.16,-70929.42,NA,P,-0.299129026548673,-0.313846991150442,NA,NA,NA,NA,rectangular_magnet,R05,1.0,I,5.0,I,156.44516188041288,1.17250158636358,circular_magnet,Gre,1.0,TL,-0.004536319360000025,0.006
6.0,2388439525283766144,114.64195275134567,32.07468876124324,119.008113840025,3.92601982505889,3.41424684823877,0.511772976820125,352.04666,-21.784746,18.3202991485596,17.2343006134033,16.7299003601074,16.5072994232178,16.3808994293213,17.238873,18.056692,16.374887,-99.0,1.0,0.0,19.0,-2.04661757941003,6.40906963077848,1.0,119179.531836734,31106.0542448986,1.0,114611.9,32047.52,NA,P,0.507132300884956,0.141803185840708,NA,NA,NA,NA,rectangular_magnet,R06,1.0,I,6.0,J,45.055633739435685,0.511772976820125,circular_magnet,Gre,1.0,TR,0.04046368063999998,-0.002
7.0,2385397661941026176,-34.971390798648535,-66.1059768972493,74.7911434826243,-0.506307589357054,1.08406089593158,4.69281682189095,351.3571,-22.205688,17.9834995269775,17.1033992767334,16.7521991729736,16.5970993041992,16.4529991149902,17.158672,17.812746,16.38774,-99.0,1.0,0.0,19.0,3.17709139202217,-6.87902396594212,1.0,-36661.02816326,-64026.8377551014,1.0,-34983.03,-66105.24,NA,P,-0.154792168141593,-0.292501061946903,NA,NA,NA,NA,rectangular_magnet,R07,1.0,I,7.0,K,-60.990711994398,4.69281682189095,circular_magnet,Blu,1.0,TR,-0.010536319360000025,-0.005
8.0,2385372235734637824,-92.03330168352949,-93.65387341030646,131.306098558957,2.17846459536819,0.793896400499022,1.38456819486917,351.09473,-22.320932,17.8567008972168,16.7117004394531,16.1718997955322,15.938099861145,15.7847995758057,16.69877,17.50673,15.802766,-99.0,1.0,0.0,19.0,0.828201671977452,-16.6961837029558,1.0,-95956.6481632545,-90071.9817551015,1.0,-92055.05,-93633.11,NA,P,-0.407323230088496,-0.414305796460177,NA,NA,NA,NA,rectangular_magnet,R08,1.0,I,8.0,L,145.183172866728,1.38456819486917,circular_magnet,Gre,1.0,TL,0.029463680639999976,0.006
9.0,2388399839785347968,95.43521940387176,-30.399835655517347,100.154264556595,3.78833606854855,2.83303049651988,0.955305572028673,351.96005,-22.052013,19.0146007537842,17.8680992126465,17.1886005401611,16.8733005523682,16.6837997436523,17.79557,18.783339,16.812899,-99.0,1.0,0.0,19.0,7.58596480448788,-18.2066419990535,1.0,99605.6718367448,-29296.2877551014,1.0,95424.1,-30415.75,NA,P,0.422230530973451,-0.13458296460177,NA,NA,NA,NA,rectangular_magnet,R09,1.0,I,9.0,M,52.94433189498488,0.955305572028673,circular_magnet,Gre,1.0,TL,0.018463680639999976,0.006
10.0,2391502734613726464,-97.11603861188162,122.52130890166349,156.333775762264,0.0963215511401989,-0.900713199086468,0.997034750226667,351.07626,-21.400997,18.4682006835938,17.8246002197266,17.5625991821289,17.4379997253418,17.320499420166,17.882627,18.433983,17.190617,-99.0,1.0,0.0,19.0,-1.50845579158169,-2.64811220612623,1.0,-100130.868163263,117833.328244898,1.0,-97091.27,122529.73,NA,P,-0.429607389380531,0.542166946902655,NA,NA,NA,NA,rectangular_magnet,R10,1.0,I,10.0,N,-95.51881835648696,0.997034750226667,circular_magnet,Yel,1.0,TL,0.025463680639999976,0.006
