#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,23 25 16.36,-21 59 12.1 #Field centre
#UTTIME,14 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,a test_label
#TILING_DATE,2021 06 16 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyFibrePosition","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"2385404259010811264",25.69102,-33.33178,42.0836793378241,1.13550722013116,2.22745607545196,5.19123645185879,351.43738,-22.12997,16.3001003265381,15.3758001327515,14.9965000152588,14.8517999649048,14.7149000167847,15.419301,16.088486,14.642094,-99,1,0,19,-4.47595058638668,-7.05647216241183,1,26937.3551020486,-32377.2673469385,1,25691.02,-33331.78,NA,"P",0.113677079646018,-0.147485752212389
2,"2382398778336242048",59.07025,-50.42142,77.6634665069677,0.90395363890746,2.43502157178256,4.75211737430449,351.5916,-22.2026,18.2563991546631,17.1156997680664,16.5375995635986,16.3083992004395,16.1070003509521,17.088205,17.928074,16.18013,-99,1,0,19,2.62896302966197,-7.6679195414043,1,61791.0751020507,-48791.6473469385,1,59070.25,-50421.42,NA,"P",0.261372787610619,-0.223103628318584
3,"2388408223561651328",85.14175,-10.37313,85.771320492688,4.30577994115767,3.02035650325088,1.28542343790679,351.71167,-22.030703,17.9090995788574,16.7486991882324,16.1650009155273,15.9308004379272,15.7632999420166,16.712608,17.57265,15.80967,-99,1,0,19,23.29812664685,-8.66332149851488,1,88926.8951020504,-9942.92534693824,1,85141.75,-10373.13,NA,"P",0.376733407079646,-0.0458988053097345
4,"2385494071071570432",-76.70699,98.48266,124.831072396001,-0.121379702190038,-0.909061599752755,0.787681897562718,350.96625,-21.565947,17.1590995788574,15.9450998306274,14.7750997543335,14.3456001281738,14.0885000228882,15.607972,16.713842,14.305798,-99,1,0,19,-9.5273291641943,-40.6389656447058,1,-79538.0248979551,95091.9306530612,1,-76706.99,98482.66,NA,"P",-0.339411460176991,0.435763982300885
5,"2385362408849399296",-80.95103,-125.84452,149.632591610556,2.25054974538859,0.99917224843027,1.25137749695832,350.94507,-22.521412,17.7075996398926,16.6016006469727,16.1289005279541,15.9139995574951,15.7639999389648,16.6335,17.427794,15.761206,-99,1,0,19,7.24025420361733,-15.0162934254478,1,-84324.7048979586,-120843.159346939,1,-80951.03,-125844.52,NA,"P",-0.358190398230089,-0.556834159292035
6,"2391431713034510848",35.21199,63.22338,72.3676724676461,3.44230402476654,4.20422881828234,5.52126051366378,351.48096,-21.715494,18.6285991668701,17.7136001586914,16.9867000579834,16.6494007110596,16.4447994232178,17.572838,18.4159,16.615923,-99,1,0,19,-4.7321669432065,-11.6712018223443,1,36786.4351020403,61294.3086530616,1,35211.99,63223.38,NA,"P",0.155805265486726,0.279749469026549
7,"2391503658031482496",-40.11099,156.50984,161.568009010465,2.95914971083302,-1.31991197846803,4.27906168930105,351.13568,-21.322037,17.6287994384766,16.964599609375,16.6662998199463,16.5100994110107,16.3955993652344,17.00667,17.571669,16.307758,-99,1,0,19,-12.1331785718498,-5.68922005206798,1,-41246.8448979603,150215.590653061,1,-40110.99,156509.84,NA,"P",-0.177482256637168,0.692521415929204
8,"2388413691055255552",130.09889,15.96256,131.074499812075,4.37580397656851,3.26367805028489,1.11212592628363,351.91626,-21.917639,18.3292999267578,17.112699508667,15.606499671936,14.9259996414185,14.5623998641968,16.366835,17.854053,15.111779,-99,1,0,19,-16.5412464688904,19.9548237076375,1,135164.235102049,15609.5386530613,1,130098.89,15962.56,NA,"P",0.575658805309735,0.070630796460177
9,"2385377149177165312",-60.99152,-51.36332,79.7380470875278,1.90680110080383,0.69991243903278,1.20688866177105,351.03564,-22.206549,17.5342998504639,16.8987998962402,16.6067008972168,16.4766998291016,16.3780994415283,16.92854,17.451742,16.246971,-99,1,0,19,-1.7155715394439,-2.73254627117957,1,-63855.8848979554,-49684.1213469382,1,-60991.52,-51363.32,NA,"P",-0.269873982300885,-0.227271327433628
10,"2385423702327125376",0.16988,20.91155,20.9122400191108,3.58170333195009,4.7042654188571,5.16062322027257,351.31903,-21.896553,18.408899307251,17.5802993774414,17.2043991088867,17.0396003723145,16.914400100708,17.615522,18.264645,16.834295,-99,1,0,19,5.14108070816119,-11.5178935979535,1,190.25510204392,20374.9746530614,1,169.88,20911.55,NA,"P",0.000751681415929204,0.092528982300885
11,"2382351361897244288",14.64927,-126.77412,127.617704936687,3.93798664675728,1.68584019193096,2.25214645482631,351.38553,-22.527298,18.4046993255615,17.637300491333,17.2777996063232,17.1319999694824,17.0109996795654,17.688831,18.28118,16.936392,-99,1,0,19,-7.33704227794461,-16.3778723866423,1,15219.2551020482,-122173.395346938,1,14649.27,-126774.12,NA,"P",0.0648197787610619,-0.560947433628319
12,"2385438927986779136",-139.76385,-43.85103,146.481557197087,-1.2281135711182,0.304024047880533,4.75104768818085,350.67587,-22.171911,17.5926990509033,16.9535007476807,16.6566009521484,16.5403995513916,16.448600769043,16.995869,17.537302,16.310389,-99,1,0,19,-9.52227426378542,-4.63734021386821,1,-145163.904897961,-41855.9333469388,1,-139763.85,-43851.03,NA,"P",-0.618424115044248,-0.19403110619469
13,"2382349506471369728",9.00779,-153.0839,153.348689984278,3.79236466418175,1.62957073316938,2.16279393101237,351.3593,-22.6372,18.6086006164551,17.3404998779297,16.0321998596191,15.4432001113892,15.1565999984741,16.775251,18.246544,15.570697,-99,1,0,19,-25.947865321055,-38.2957185676004,1,9291.27510204864,-147011.247346938,1,9007.79,-153083.9,NA,"P",0.0398574778761062,-0.677362389380531
14,"2391486684320587520",-41.78277,102.56322,110.747523519225,3.18550790303535,-1.18393938683675,4.36944728987209,351.12628,-21.54801,18.8717002868652,17.6819000244141,16.9652004241943,16.6490993499756,16.4706001281738,17.568432,18.54534,16.607944,-99,1,0,19,-3.38618821012754,-0.431634239673118,1,-43371.2448979537,99145.6926530612,1,-41782.77,102563.22,NA,"P",-0.184879513274336,0.453819557522124
15,"2382398469098594176",77.46921,-46.25572,90.2278788997198,3.75957420670407,2.60331913301596,1.15625507368811,351.67633,-22.184353,18.7978992462158,17.7329006195068,17.2768993377686,17.0823993682861,16.9396991729736,17.768316,18.501873,16.93646,-99,1,0,19,-2.04704291271666,-5.96824398929068,1,80940.055102046,-44667.8253469388,1,77469.21,-46255.72,NA,"P",0.342784115044248,-0.204671327433628
16,"2385484729518096768",-133.75242,60.00175,146.594405960524,-0.621983703211617,-0.42169165435763,6.0828932583256,350.70554,-21.730236,17.519100189209,16.4125995635986,15.9163999557495,15.7070999145508,15.552300453186,16.426373,17.208647,15.556283,-99,1,0,19,4.78966095315167,-13.0109748262284,1,-138458.484897959,57962.6166530612,1,-133752.42,60001.75,NA,"P",-0.591824867256637,0.265494469026549
17,"2382343699675576448",24.73984,-174.04606,175.79559347364,1.1263791790096,1.71199576561003,5.69756872057915,351.4313,-22.723152,18.5470008850098,17.3446998596191,16.0823001861572,15.5340003967285,15.2354001998901,16.818916,18.235289,15.644128,-99,1,0,19,-6.67583933773702,9.4917159229208,1,25563.2751020493,-166436.399346938,1,24739.84,-174046.06,NA,"P",0.109468318584071,-0.770115309734513
