#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,16 00 19.20,-22 11 45.6 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,240_m20_comissioning Tile 012
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"6237392098439920384",-97.81735,-116.79479,152.34584645525,2.30124205030761,0.873595445600023,1.42764660470759,239.62932,-22.691795,16.7273006439209,15.8837995529175,15.5002002716064,15.2749004364014,15.1253995895386,15.886109,16.544476,15.098117,-1.15323144027421,-3.3715972935571,1,1,-999,"False",-101851.657894736,-112047.472447369,1,-97817.35,-116794.79,NA,"P",-0.432820132743363,-0.51679110619469
2,"6243464838600961024",10.63203,85.79534,86.4516074323462,0.205525044538491,4.58909439514943,1.89961595656865,240.12906,-21.828533,17.6648006439209,17.1336002349854,16.8733997344971,16.7548999786377,16.6721000671387,17.145042,17.574955,16.49509,-14.7152809957496,-10.5301413718238,1,1,-999,"False",11089.5821052642,83049.7395526313,1,10632.03,85795.34,NA,"P",0.0470443805309734,0.379625398230088
3,"6243397046837571328",-56.39257,-96.59135,111.848159779352,1.98175483668194,1.04235415168273,0.939400684999204,239.81892,-22.60857,16.6634006500244,15.9805002212524,15.6919002532959,15.5635995864868,15.4728002548218,15.999449,16.516747,15.316717,-7.27246276696104,-5.22013803154693,1,1,-999,"False",-59002.0578947335,-93238.6224473687,1,-56392.57,-96591.35,NA,"P",-0.249524646017699,-0.427395353982301
4,"6243214214367468928",21.79153,-85.082,87.828341119145,1.4173718043266,1.82153026357148,5.87902684793471,240.181,-22.560228,18.5494003295898,17.8964004516602,17.5918998718262,17.4368000030518,17.3183994293213,17.924452,18.04988,17.119629,-5.66329648753062,-6.73875157369428,1,1,-999,"False",22828.0221052582,-82313.3304473683,1,21791.53,-85082,NA,"P",0.0964226991150442,-0.376469026548673
5,"6237479887571956608",-192.30638,8.01021,192.473133847165,4.67131305622413,-0.0416293117008912,4.71294236792502,239.20387,-22.159822,18.1450996398926,17.1898994445801,16.7653007507324,16.5450000762939,16.3747005462646,17.209738,17.876957,16.36623,-2.85039118476509,-10.5754669388822,1,1,-999,"False",-198003.357894733,8178.42555263173,1,-192306.38,8010.21,NA,"P",-0.850913185840708,0.035443407079646
6,"6243142750415493504",71.19614,-171.25463,185.464386466342,0.655511247865494,1.96479132839958,4.9739052266455,240.40636,-22.918844,17.960599899292,17.4202995300293,17.1877994537354,17.0941009521484,17.0088996887207,17.445877,17.87355,16.806068,-1.45409714582726,-3.38647377632035,1,1,-999,"False",73759.3821052635,-163360.546447369,1,71196.14,-171254.63,NA,"P",0.315027168141593,-0.757763849557522
7,"6243144468402405376",107.551,-150.28716,184.806515204052,4.05192302389239,2.19193978107751,1.85998324281488,240.57278,-22.829985,17.7926006317139,17.0293006896973,16.7329998016357,16.5876998901367,16.456600189209,17.084438,17.671185,16.352966,-5.64374955986225,-0.0591246347646028,1,1,-999,"False",111370.302105261,-143278.412447369,1,107551,-150287.16,NA,"P",0.475889380530973,-0.664987433628319
8,"6243358426493916288",136.96998,82.23744,159.761609778301,-0.0922034809094026,3.68230978292461,2.50867204334557,240.70651,-21.845705,17.2203006744385,16.74169921875,16.5317993164063,16.4333992004395,16.3822994232178,16.768055,17.103195,16.120699,0.00958384025875807,-0.106947045893592,1,1,-999,"False",141593.282105264,79168.8675526316,1,136969.98,82237.44,NA,"P",0.60606185840708,0.363882477876106
9,"6243248264868749056",79.34283,-11.85248,80.2232257800651,3.9621026911886,2.99330605990666,0.968796631281942,240.44728,-22.2464,18.2476997375488,17.6408996582031,17.3747005462646,17.24880027771,17.1653003692627,17.662048,18.127525,16.992537,-2.598501596857,-4.01876743380159,1,1,-999,"False",83007.302105257,-11388.2024473689,1,79342.83,-11852.48,NA,"P",0.351074469026549,-0.0524446017699115
10,"6243402372596160256",-97.03344,-72.24348,120.973587533577,-1.08129394698166,0.639985623432784,4.56190573676514,239.63162,-22.503763,17.8425998687744,17.1723003387451,16.9423999786377,16.8230991363525,16.7087993621826,17.2135,17.620045,16.506973,-12.528356361887,1.29525815880446,1,1,-999,"False",-101331.857894732,-69552.2404473685,1,-97033.44,-72243.48,NA,"P",-0.429351504424779,-0.319661415929203
