#OBSTEMP,8
#CONFIGTEMP,19
#EQUINOX,J2000.0
#CENTRE,17 59 32.36,-21 51 06.3 #Field centre
#UTTIME,12 00 00.00 #Target observing time
#UTDATE,2021 07 10 #Target observing date
#PLATEID,a test_plateID
#LABEL,a test_label
#TILING_DATE,2021 06 07 # Date the tile was created/configured
#PROXIMITY,220 # tiling proximity value in arcseconds
"probe","ID","x","y","rads","angs","azAngs","angs_azAng","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","pmRA","pmDEC","priority","remaining_observations","Tile_number","COMPLETED","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","Position","fibre_type","fraction_plate_radius_X","fraction_plate_radius_Y"
1,"4070798800944996992",23.53285,144.35532,146.260908794609,2.0066750698882,4.55079018697154,3.73907019009625,269.99237,-21.237629,15.315299987793,14.6220998764038,14.2650995254517,14.0627002716064,13.9419002532959,14.583523,15.164951,13.838987,-0.560219201579885,-2.71412407433855,1,1,-999,"False",24309.2553846077,138793.581164835,1,23532.85,144355.32,NA,"P",0.104127654867257,0.638740353982301
2,"4069962416178881408",204.74234,12.24263,205.108039281722,0.860878479729581,3.20131684223172,3.94274694467745,270.8125,-21.797852,19.9099006652832,17.7945003509521,16.528299331665,15.7079000473022,15.168399810791,17.183207,18.969471,15.85794,-1.06275120375608,-2.60483118696184,1,1,-999,"False",209658.635384609,12183.1831648352,1,204742.34,12242.63,NA,"P",0.905939557522124,0.0541709292035398
3,"4069945403788099584",100.04535,-11.52117,100.706551002362,1.13434059263817,3.02693823602543,4.39058766379232,270.34622,-21.900515,18.3052997589111,17.2957000732422,16.8435001373291,16.5685997009277,16.4589004516602,17.288345,18.104143,16.432543,-2.68531503149385,-1.4082943984873,1,1,-999,"False",104279.355384613,-11018.6548351647,1,100045.35,-11521.17,NA,"P",0.442678539823009,-0.0509786283185841
4,"4070369677841228544",-178.69163,6.55036,178.811649084131,2.36865904604405,-0.0366409345791059,2.40529998062316,269.07037,-21.821877,17.7705993652344,16.4972991943359,15.7665996551514,15.3725996017456,15.1014995574951,16.304276,17.334932,15.250696,-1.94847636314305,-1.90187938287319,1,1,-999,"False",-184062.744615385,6753.53316483484,1,-178691.63,6550.36,NA,"P",-0.79067092920354,0.0289838938053097
5,"4070984923319428736",-77.98757,191.12317,206.422206134306,0.585845702421107,-1.18337068952107,1.76921639194217,269.53333,-21.046926,19.4209995269775,17.214599609375,15.9245004653931,15.1893997192383,14.7040004730225,16.583818,18.33597,15.248181,-2.80641205544775,-4.57766397370066,1,1,-999,"False",-79433.7846153959,181892.459164834,1,-77987.57,191123.17,NA,"P",-0.345077743362832,0.845677743362832
6,"4070771897268023552",-21.3579,97.34181,99.6573522951824,1.63675414083131,-1.35480754559637,2.99156168642769,269.78668,-21.434961,17.885799407959,16.6473999023438,15.9462003707886,15.4968004226685,15.1913003921509,16.487555,17.513079,15.452099,0.00502561988582123,-1.58455737350053,1,1,-999,"False",-22176.6846153932,94196.5491648355,1,-21357.9,97341.81,NA,"P",-0.094503982300885,0.430715973451327
7,"4069960865670657920",175.105,25.99004,177.023284356046,1.13476634745436,3.28894235325592,4.12900930137802,270.68246,-21.74004,19.4750995635986,17.8509006500244,16.8490009307861,16.209400177002,15.8360004425049,17.505135,18.977732,16.305666,0.17322555765505,-1.15391090353022,1,1,-999,"False",180269.595384607,25248.6951648349,1,175105,25990.04,NA,"P",0.774800884955752,0.11500017699115
8,"4070782617478528256",-74.68374,112.02321,134.636030092586,1.78824557505915,-0.982783835251745,2.77102941031089,269.54312,-21.373894,19.3202991485596,17.8374996185303,16.9878005981445,16.4675006866455,16.1564998626709,17.599022,18.712994,16.435404,-0.51115901813345,-2.97937520937863,1,1,-999,"False",-77221.2446153809,107997.691164835,1,-74683.74,112023.21,NA,"P",-0.330459026548673,0.495677920353982
9,"4069972341823277056",157.06318,26.75472,159.325633700264,1.17335050801504,3.3103168179328,4.14621899726183,270.60266,-21.736773,18.672399520874,16.2842998504639,14.7025003433228,13.7806997299194,13.2098999023438,15.365632,17.536388,13.978666,-3.93321472217275,-1.47994915879153,1,1,-999,"False",162234.795384612,25987.0371648351,1,157063.18,26754.72,NA,"P",0.694969823008849,0.118383716814159
10,"4069508588435057024",-24.10525,-201.36214,202.799838518038,-1.07109116537584,1.45165237232667,3.76044176947708,269.77463,-22.699125,18.1688003540039,16.8572998046875,16.1291999816895,15.671799659729,15.3388996124268,16.694523,17.76396,15.654561,-1.06815404833573,-3.03088399086213,1,1,-999,"False",-24899.9846153905,-191504.514835165,1,-24105.25,-201362.14,NA,"P",-0.106660398230089,-0.890982920353982
11,"4070729772226171264",119.02493,74.0398,140.174269912652,1.19314048316681,3.69806988098868,3.77825590935772,270.42963,-21.535776,19.6837997436523,17.9631004333496,16.8829002380371,16.1558990478516,15.604700088501,17.543877,19.085352,16.317804,-0.150979633406398,-1.61993697766904,1,1,-999,"False",123130.015384603,71412.3591648345,1,119024.93,74039.8,NA,"P",0.526658982300885,0.327609734513274
12,"4070395417605034880",-157.97183,30.30145,160.851723477404,2.43490893878631,-0.189513632664827,2.62442257145114,269.16287,-21.72139,17.8229007720947,16.7649993896484,16.1187000274658,15.7792997360229,15.5165996551514,16.675243,17.417618,15.420239,0.0134896437989453,-9.17262692876686,1,1,-999,"False",-163157.744615391,29463.5951648351,1,-157971.83,30301.45,NA,"P",-0.698990398230088,0.134077212389381
13,"4069986875992827136",181.37426,96.2383,205.325187391702,1.05813529742661,3.62942434578681,3.71189625881938,270.70483,-21.444971,18.9195995330811,17.1956996917725,16.1203994750977,15.4160995483398,14.9278001785278,16.762772,18.292278,15.527094,-1.09829136462475,-0.96954582683405,1,1,-999,"False",185325.2153846,91934.2891648352,1,181374.26,96238.3,NA,"P",0.802540973451328,0.425833185840708
14,"4070784198053499392",-93.92538,109.75563,144.458559195505,1.84356695428224,-0.862963031630301,2.70652998591254,269.45566,-21.384031,17.9951000213623,16.0456008911133,14.9455995559692,14.2643003463745,13.8569002151489,15.598947,17.174698,14.347114,0.425464124528378,1.74240707970128,1,1,-999,"False",-96987.2046153857,105706.729164835,1,-93925.38,109755.63,NA,"P",-0.415599026548673,0.485644380530973
15,"4070809619939294720",81.5751,198.88959,214.968755753896,1.38111317623233,4.32316104129994,3.34113744211197,270.25198,-21.016228,17.0140991210938,16.0592002868652,15.5200996398926,15.1576995849609,14.8882999420166,15.97682,16.741146,15.019918,-0.785557331889876,-1.73095641260972,1,1,-999,"False",82981.1153846098,188830.207164835,1,81575.1,198889.59,NA,"P",0.360951769911504,0.880042433628319
16,"4070589545803646592",-181.38853,79.82026,198.174349303911,1.42766316560138,-0.414549860238461,1.84221302583984,269.06284,-21.513014,20.4109992980957,17.7830009460449,16.1944007873535,15.2547998428345,14.6585998535156,16.840624,19.007902,15.37269,0.900941555370956,-6.33961609170258,1,1,-999,"False",-185764.524615392,76556.5711648346,1,-181388.53,79820.26,NA,"P",-0.802604115044248,0.353186991150442
17,"4070334184227805056",-40.8623,-1.98134,40.9103076190537,1.75121856960996,0.0484502684867034,1.70276830112326,269.6955,-21.860132,18.0620994567871,16.9860992431641,16.3554992675781,15.9897003173828,15.7490997314453,16.864964,17.756958,15.918215,0.411421848405467,1.60540306344293,1,1,-999,"False",-42783.3646153952,-1892.09683516505,1,-40862.3,-1981.34,NA,"P",-0.180806637168142,-0.00876699115044248
18,"4070817527002906880",15.2096,192.493,193.092949071581,1.11691576538778,4.63353901721434,2.76656205535302,269.95377,-21.03957,15.6162996292114,14.9278001785278,14.5913000106812,14.4482002258301,14.3266000747681,14.902445,15.462191,14.182363,-2.3688131236824,-0.0848586825891657,1,1,-999,"False",15585.6553846136,183554.915164835,1,15209.6,192493,NA,"P",0.0672991150442478,0.851738938053097
19,"4070406206580506880",-138.46431,75.65357,157.784117697318,2.00112397008783,-0.500056579696857,2.50118054978468,269.25253,-21.529026,20.0561008453369,17.6709003448486,16.3024005889893,15.4484996795654,14.9193000793457,16.952156,18.876223,15.53943,0.450891288563161,-2.5998989295474,1,1,-999,"False",-142894.584615396,72937.8591648346,1,-138464.31,75653.57,NA,"P",-0.612673938053097,0.334750309734513
20,"4069560269795495680",43.54446,-74.13398,85.9765490545649,1.29155837392489,2.10188115030611,5.47286253079836,270.08606,-22.16911,16.8967990875244,16.6707992553711,16.6462001800537,16.6203002929688,16.5793991088867,16.647326,16.822784,16.25248,-10.2662045716186,-1.53193570940034,1,NA,NA,"",45483.1953846162,-71721.124835165,0,43544.46,-74133.98,NA,"P",0.192674601769911,-0.328026460176991
21,"4070718497904347904",39.0333,58.13878,70.0265396030562,1.43427676197459,4.12112937621685,3.59633269293733,270.06494,-21.60233,16.5198993682861,16.2612991333008,16.1679992675781,16.1026992797852,16.0648002624512,16.190025,16.426561,15.75585,-9.85335751054797,-5.68201640729068,1,NA,NA,"",40710.0753846042,56371.1551648353,0,39033.3,58138.78,NA,"P",0.172713716814159,0.257251238938053
NA,"Sky-A1-1",-226.46104,82.44066,NA,NA,NA,NA,268.870965,-21.505045644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-226461.04,82440.66,1,"S",-1.00204,0.364781681415929
NA,"Sky-A1-2",-222.23219,93.24117,NA,NA,NA,NA,268.8901999,-21.460168791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-222232.19,93241.17,1,"S",-0.983328274336283,0.412571548672566
NA,"Sky-A1-3",-217.48859,103.8257,NA,NA,NA,NA,268.9117212,-21.416201976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-217488.59,103825.7,1,"S",-0.96233889380531,0.459405752212389
NA,"Sky-A1-4",-212.24121,114.16975,NA,NA,NA,NA,268.9354779,-21.373246281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-212241.21,114169.75,1,"S",-0.939120398230089,0.505175884955752
NA,"Sky-A1-5",-206.50222,124.24934,NA,NA,NA,NA,268.9614133,-21.331400538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-206502.22,124249.34,1,"S",-0.913726637168142,0.549775840707965
NA,"Sky-A1-6",-200.2849,134.04112,NA,NA,NA,NA,268.9894663,-21.29076088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-200284.9,134041.12,1,"S",-0.886216371681416,0.593102300884956
NA,"Sky-A1-7",-193.60365,143.52243,NA,NA,NA,NA,269.019571,-21.251420507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-193603.65,143522.43,1,"S",-0.856653318584071,0.635055
NA,"Sky-A2-1",-3.01251,240.9813,NA,NA,NA,NA,269.8716345,-20.847852041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,-3012.51,240981.3,1,"S",-0.0133296902654867,1.0662889380531
NA,"Sky-A2-2",8.5856,240.84715,NA,NA,NA,NA,269.9233329,-20.84843287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,8585.6,240847.15,1,"S",0.0379893805309735,1.0656953539823
NA,"Sky-A2-3",20.16382,240.15512,NA,NA,NA,NA,269.9749421,-20.851322963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,20163.82,240155.12,1,"S",0.0892204424778761,1.06263327433628
NA,"Sky-A2-4",31.69534,238.90682,NA,NA,NA,NA,270.026345,-20.85651561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,31695.34,238906.82,1,"S",0.140244867256637,1.05710982300885
NA,"Sky-A2-5",43.15344,237.10513,NA,NA,NA,NA,270.0774245,-20.863998926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,43153.44,237105.13,1,"S",0.190944424778761,1.04913774336283
NA,"Sky-A2-6",54.51158,234.75423,NA,NA,NA,NA,270.1280646,-20.873755737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,54511.58,234754.23,1,"S",0.241201681415929,1.03873553097345
NA,"Sky-A2-7",65.74346,231.85957,NA,NA,NA,NA,270.17815,-20.885763701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,65743.46,231859.57,1,"S",0.290900265486726,1.02592730088496
NA,"Sky-A3-1",231.67752,66.38214,NA,NA,NA,NA,270.9220003,-21.572387865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,231677.52,66382.14,1,"S",1.0251217699115,0.293726283185841
NA,"Sky-A3-2",234.60313,55.15828,NA,NA,NA,NA,270.9353943,-21.619036806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,234603.13,55158.28,1,"S",1.03806694690265,0.244063185840708
NA,"Sky-A3-3",236.98531,43.80666,NA,NA,NA,NA,270.9463668,-21.666228605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,236985.31,43806.66,1,"S",1.04860756637168,0.193834778761062
NA,"Sky-A3-4",238.81857,32.35357,NA,NA,NA,NA,270.9548904,-21.7138545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,238818.57,32353.57,1,"S",1.05671933628319,0.143157389380531
